"stk","yr","ets","totalSpwn","rec2","rec3","rec4","rec5","rec6"
"1",1948,0.018061,0.019979,0,0,0.179412,0.018741,0
"1",1949,0.35519,0.582228,0,0.006218,1.029437,0.001271,0
"1",1950,0.053069,0.059104,0,0.000579,0.240545,0.000542,0
"1",1951,0.052825,0.060423,0,9e-06,0.158428,0.015217,0
"1",1952,0.027821,0.030191,0,2.8e-05,0.078012,0.01056,0
"1",1953,0.137097,0.154036,0,0.000294,0.537711,0.002886,0
"1",1954,0.034427,0.03505,0,0.000341,0.154781,0.000701,0
"1",1955,0.002052,0.002159,0,1.1e-05,0.025824,0.001632,0
"1",1956,0.024684,0.02502,0,0,0.101035,0.006393,0
"1",1957,0.232256,0.23485,0,0.00073,1.215763,0.003272,0
"1",1958,0.037279,0.038807,0,0.000755,0.102112,0.00024,0
"1",1959,0.002586,0.00267,0,0,0.014682,0.006153,0
"1",1960,0.012397,0.014447,0,2.2e-05,0.069925,0.004202,0
"1",1961,0.16048,0.198921,0,0.00063,0.252123,0.002208,0
"1",1962,0.025398,0.026716,0,0,0.067661,0.005992,0
"1",1963,0.004109,0.004607,0,0.000332,0.090397,0.001825,0
"1",1964,0.002319,0.00239,0,0.001027,0.02594,0.012949,0
"1",1965,0.018543,0.023045,0,0.000432,0.415253,0.001526,0
"1",1966,0.01009,0.01083,0,0.001746,0.08304,0,0
"1",1967,0.019949,0.021044,0,0.000423,0.326142,0.013128,0
"1",1968,0.00134,0.001522,0,1.1e-05,0.010412,0,0
"1",1969,0.089746,0.109655,0,0.000648,1.366181,0.004452,0
"1",1970,0.028206,0.032578,0,0.001212,0.178232,0.001312,0
"1",1971,0.08544,0.09594,0,0.000311,0.42351,0.006993,0
"1",1972,0.004219,0.004657,0,2.5e-05,0.032207,0,0
"1",1973,0.295915,0.299892,0,0.004591,1.342456,0.003951,0
"1",1974,0.038013,0.039533,0,0.001242,0.141307,0.002218,0
"1",1975,0.052052,0.065765,0,0.00015,0.220007,0.002852,0
"1",1976,0.011431,0.011761,0,4.3e-05,0.0288,0.003034,0
"1",1977,0.086551,0.117445,0,0.000572,0.752467,0.008655,0
"1",1978,0.035786,0.050004,0,0.000202,0.07147,0.00118,0
"1",1979,0.069277,0.092746,0,3.4e-05,0.089807,0.017889,0
"1",1980,0.012648,0.016939,0,1e-05,0.03795,0.025541,0
"1",1981,0.123195,0.138031,0,4.6e-05,0.33129,0.018805,0
"1",1982,0.003749,0.004557,0,1.3e-05,0.026796,0.001007,0
"1",1983,0.020443,0.023867,0,0.000423,0.17676,0.010949,0
"1",1984,0.040202,0.045201,0,0.00024,0.209867,0.029536,0
"1",1985,0.215698,0.237532,0,0.002414,1.179879,0.026057,0
"1",1986,0.027352,0.028584,0,5.6e-05,0.12828,0.017603,0
"1",1987,0.135361,0.148194,0,8e-06,0.494847,0.031065,0
"1",1988,0.174002,0.179807,0,3.3e-05,0.319342,0.059894,0
"1",1989,0.365639,0.384799,0,0.00042,1.091749,0.045932,0
"1",1990,0.093371,0.097035,0,2e-06,0.156963,0.009121,0
"1",1991,0.138286,0.141119,0,0.000514,0.129192,0.014581,0
"1",1992,0.05838,0.066098,0,1e-05,0.080797,0.019569,0
"1",1993,0.679396,0.688013,0,0.000847,1.652166,0.16177,0
"1",1994,0.026703,0.029125,0,6e-06,0.02799,0.001034,0
"1",1995,0.108053,0.122856,0,2e-05,0.170595,0.018985,0
"1",1996,0.083274,0.087612,0,0,0.359206,0.10494,0
"1",1997,0.216779,0.26694,0,1e-06,0.109249,0.038121,0
"1",1998,0.018221,0.03257,0,2e-06,0.024341,0.004349,0
"1",1999,0.020883,0.02455,0,0,0.025927,0.004639,0
"1",2000,0.079487,0.089858,0,0,0.132457,0.003417,0
"1",2001,0.158779,0.170981,0,5e-06,0.216279,0.035722,0
"1",2002,0.023742,0.024637,0,0,0.020266,0.0043,0
"1",2003,0.012718,0.013166,0,0,0.008431,0.001588,0
"1",2004,0.008948,0.009281,0,0,0.032387,0.005077198,0
"1",2005,0.097771,0.098537,0,4.9e-05,0.076119303,0.007843862,0
"1",2006,0.032016,0.035816,0,0,0.096013086,0.01060328,0
"1",2007,0.00459,0.005347,0,0,0.010551212,0.000146711,0
"1",2008,0.026262,0.029867,0,1e-06,0.183791609,0.009158711,0
"1",2009,0.042983,0.045297,0,3e-06,0.172777765,0.030113412,0
"1",2010,0.055378,0.060262,0,5.3e-05,0.191812703,0.026478597,0
"1",2011,0.000617,0.000757,0,3e-06,0.002258977,0.000735,0
