"stk","alpha","beta0","sigma","deviance"
1,1.21913000163862,0.800825933277601,0.798857296079082,-2806.46008145781
1,1.38501671493183,1.79178192054964,0.785699173673883,-2807.13577240938
1,1.3407763411004,1.45189114319028,0.740163368261768,-2832.74710536849
1,1.30395109571773,1.42662861740437,0.73385452637315,-2828.87721387977
1,1.44415302013572,2.15636441492987,0.867380300435501,-2824.4832759778
1,1.49308403588368,2.09332919141268,0.756708155374964,-2797.6121409577
1,1.57637328922815,1.54304168562502,0.767661615572053,-2819.25173120514
1,1.3727874403954,1.18600097391843,0.794947765445704,-2826.73929235542
1,1.33279623836048,0.699773825590435,0.70639271699219,-2826.27175290502
1,1.18828757909871,1.09662928104694,0.839815956853172,-2832.21060622277
1,1.1776419799527,0.725716574857178,0.895542120170062,-2815.67104146545
1,1.35211589519229,0.820260070803252,0.81877099568254,-2821.20917363269
1,1.12483076184411,0.610499031076701,0.77609027048084,-2817.36806784296
1,1.22126631902003,1.74424818317661,0.935674883738906,-2807.19251020665
1,1.23247490542387,1.92577126103511,0.84911874328382,-2818.13705311104
1,1.3001622574627,0.866083412813379,0.828700523856716,-2802.0277587788
1,1.31883647283459,1.39560936898853,0.776560477836948,-2863.8511438149
1,1.3673609893285,1.26168088518656,0.720266752664174,-2806.80484490187
1,1.30628095153932,0.486447851335246,0.790388154274946,-2810.44437575247
1,1.34091240221219,0.979657987194201,0.901833536877747,-2817.22278710234
1,1.19291132647866,1.62147733132389,0.889201514570108,-2816.35393048114
1,1.38337392937024,2.42445939344169,0.810905310149003,-2816.63023776158
1,1.15115732306172,1.04409713420847,0.905052372617608,-2815.46302733687
1,1.28409656595706,1.04642155682077,0.779144674015356,-2818.38662910463
1,1.30240664524864,1.41908406306116,0.805959251673188,-2807.67174821274
1,1.41868543043754,1.23908674154854,0.752596607325952,-2820.31239803972
1,1.46263072354052,1.24029951606154,0.912480433572581,-2816.27423374168
1,1.34210991810228,2.68667783278449,0.842868472433284,-2807.57500017719
1,1.42717028116481,1.7224104487566,0.702724796610511,-2814.73536154329
1,1.09023223402245,0.67464622879261,0.837525773601888,-2823.81711595393
1,1.42056054706697,1.24777949873567,0.873873379050349,-2834.55343986812
1,1.10460566117792,1.04958281399564,0.929250588330343,-2837.16512421565
1,1.34856439447624,1.59388874453479,0.713745644542635,-2814.37654394134
1,1.38960345685256,1.7337679037203,0.901772006641026,-2814.88310191484
1,1.38962292553369,0.693920941647367,0.797603680091534,-2820.53650287811
1,1.43307300834845,1.3870414852323,0.757211509467238,-2812.46463133491
1,1.4454611444965,1.72645589089762,0.865575403645614,-2813.07404994535
1,1.29071544797659,1.24545423108345,0.881675295692889,-2821.57808360234
1,1.43072188922886,0.582343736219167,0.874333403207106,-2796.47069406856
1,1.4957669121767,0.743839223911349,0.85501667269482,-2823.96480554162
1,1.44499885788143,2.31963360848065,0.738344377113448,-2827.62304446707
1,1.26422206250125,1.47559802191254,0.805413184211103,-2800.91696129936
1,1.3668619389365,1.97121643506853,0.764357671558863,-2823.99444401306
1,1.34270813381986,2.26570237422887,0.825616934739598,-2820.30816834845
1,1.17054727997345,1.99710263272544,0.951606170908304,-2826.77095820117
1,1.31808795227731,1.07290598702311,0.867635886524708,-2798.87567766776
1,1.13754866913648,1.2164453623335,0.871683133178686,-2808.21677311374
1,1.17855680216031,0.650975664040306,0.872483326441543,-2815.26827312844
1,1.35341152307722,1.88880461726873,0.741773531139283,-2805.08188682377
1,1.36322986267536,1.44899258256007,0.7066123640957,-2809.19491678409
1,1.44994992035554,2.04549238297836,0.723670240517003,-2839.19540893981
