scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,propMixHigh,propMixLow,varyAllocation,prodRegime,startYear,endYear,freqSkew,rho,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsSBias,propSampleCU,sampleProb,ageErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,adjustEnRoute,biasCorrected
lowSigAlphaAdj,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,TRUE
lowSigAlphaAdj,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,TRUE
lowSigAlphaAdj,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,TRUE
medSigAlphaAdj,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,TRUE
medSigAlphaAdj,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,TRUE
medSigAlphaAdj,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,TRUE
highSigAlphaAdj,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,TRUE
highSigAlphaAdj,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,TRUE
highSigAlphaAdj,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,TRUE
lowSigBiased,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,FALSE
lowSigBiased,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,FALSE
lowSigBiased,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,FALSE
medSigBiased,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE
medSigBiased,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE
medSigBiased,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE
highSigBiased,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,FALSE
highSigBiased,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,FALSE
highSigBiased,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,FALSE
