scenario,nameOM,nameMP,species,simYears,harvContRule,escGoal,canER,propMixHigh,propMixLow,varyAllocation,prodRegime,startYear,endYear,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsSBias,propSampleCU,sampleProb,ageErr,extinctThresh
obsSig,lowErr,0.3,chum,55,fixedER,FALSE,0.3,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.1,0.4,0.4,0.75,0.75,1,1,1,0.1,100
obsSig,medLErr,0.3,chum,55,fixedER,FALSE,0.3,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.3,0.4,0.4,0.75,0.75,1,1,1,0.1,100
obsSig,medHErr,0.3,chum,55,fixedER,FALSE,0.3,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.7,0.4,0.4,0.75,0.75,1,1,1,0.1,100
obsSig,highErr,0.3,chum,55,fixedER,FALSE,0.3,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,1,0.4,0.4,0.75,0.75,1,1,1,0.1,100
obsMixCatch,lowErr,0.3,chum,55,fixedER,FALSE,0.3,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.4,0.1,0.75,1,1,1,0.1,100
obsMixCatch,medLErr,0.3,chum,55,fixedER,FALSE,0.3,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.4,0.3,0.75,1,1,1,0.1,100
obsMixCatch,medHErr,0.3,chum,55,fixedER,FALSE,0.3,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.4,0.7,0.75,1,1,1,0.1,100
obsMixCatch,highErr,0.3,chum,55,fixedER,FALSE,0.3,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.4,1,0.75,1,1,1,0.1,100
mixOUSig,lowErr,0.3,chum,55,fixedER,FALSE,0.3,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.1,0.4,0.75,0.75,1,1,1,0.1,100
mixOUSig,medLErr,0.3,chum,55,fixedER,FALSE,0.3,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.3,0.4,0.75,0.75,1,1,1,0.1,100
mixOUSig,medHErr,0.3,chum,55,fixedER,FALSE,0.3,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.7,0.4,0.75,0.75,1,1,1,0.1,100
mixOUSig,highErr,0.3,chum,55,fixedER,FALSE,0.3,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,1,0.4,0.75,0.75,1,1,1,0.1,100
singOUSig,lowErr,0.3,chum,55,fixedER,FALSE,0.3,0.2,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.1,0.75,0.75,1,1,1,0.1,100
singOUSig,medLErr,0.3,chum,55,fixedER,FALSE,0.3,0.2,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.3,0.75,0.75,1,1,1,0.1,100
singOUSig,medHErr,0.3,chum,55,fixedER,FALSE,0.3,0.2,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.7,0.75,0.75,1,1,1,0.1,100
singOUSig,highErr,0.3,chum,55,fixedER,FALSE,0.3,0.2,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,1,0.75,0.75,1,1,1,0.1,100
obsSig,lowErr,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.1,0.4,0.4,0.75,0.75,1,1,1,0.1,100
obsSig,medLErr,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.3,0.4,0.4,0.75,0.75,1,1,1,0.1,100
obsSig,medHErr,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.7,0.4,0.4,0.75,0.75,1,1,1,0.1,100
obsSig,highErr,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,1,0.4,0.4,0.75,0.75,1,1,1,0.1,100
obsMixCatch,lowErr,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.4,0.1,0.75,1,1,1,0.1,100
obsMixCatch,medLErr,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.4,0.3,0.75,1,1,1,0.1,100
obsMixCatch,medHErr,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.4,0.7,0.75,1,1,1,0.1,100
obsMixCatch,highErr,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.4,1,0.75,1,1,1,0.1,100
mixOUSig,lowErr,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.1,0.4,0.75,0.75,1,1,1,0.1,100
mixOUSig,medLErr,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.3,0.4,0.75,0.75,1,1,1,0.1,100
mixOUSig,medHErr,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.7,0.4,0.75,0.75,1,1,1,0.1,100
mixOUSig,highErr,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,1,0.4,0.75,0.75,1,1,1,0.1,100
singOUSig,lowErr,0.6,chum,55,fixedER,FALSE,0.6,0.2,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.1,0.75,0.75,1,1,1,0.1,100
singOUSig,medLErr,0.6,chum,55,fixedER,FALSE,0.6,0.2,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.3,0.75,0.75,1,1,1,0.1,100
singOUSig,medHErr,0.6,chum,55,fixedER,FALSE,0.6,0.2,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,0.7,0.75,0.75,1,1,1,0.1,100
singOUSig,highErr,0.6,chum,55,fixedER,FALSE,0.6,0.2,0.2,FALSE,med,NA,NA,0.1,even,0.25,0.5,0.4,1,0.75,0.75,1,1,1,0.1,100
