scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,propMixHigh,varyAllocation,prodRegime,startYear,endYear,rho,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsSBias,propSampleCU,sampleProb,ageErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,adjustEnRoute
lowSig,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,med,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
lowSig,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,med,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
lowSig,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,med,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
medSig,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,med,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
medSig,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,med,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
medSig,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,med,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
highSig,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,med,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1
highSig,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,med,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1
highSig,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,med,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1
lowSigSkew,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skew,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
lowSigSkew,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skew,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
lowSigSkew,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skew,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
medSigSkew,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skew,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
medSigSkew,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skew,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
medSigSkew,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skew,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
highSigSkew,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skew,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1
highSigSkew,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skew,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1
highSigSkew,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skew,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1
lowSigSkewT,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skewT,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
lowSigSkewT,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skewT,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
lowSigSkewT,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skewT,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
medSigSkewT,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skewT,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
medSigSkewT,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skewT,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
medSigSkewT,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skewT,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
highSigSkewT,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skewT,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1
highSigSkewT,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skewT,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1
highSigSkewT,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,skewT,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1
lowSigLowA,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,low,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
lowSigLowA,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,low,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
lowSigLowA,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,low,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
medSigLowA,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,low,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
medSigLowA,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,low,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
medSigLowA,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,low,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
highSigLowA,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,low,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1
highSigLowA,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,low,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1
highSigLowA,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,FALSE,low,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1
lowSigFixed,lowSynch,fixedER,synch,1,sockeye,40,fixedER,stockRecruit,0.4,0,1,FALSE,med,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
lowSigFixed,medSynch,fixedER,synch,2,sockeye,40,fixedER,stockRecruit,0.4,0,1,FALSE,med,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
lowSigFixed,highSynch,fixedER,synch,3,sockeye,40,fixedER,stockRecruit,0.4,0,1,FALSE,med,NA,NA,0.2,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1
medSigFixed,lowSynch,fixedER,synch,1,sockeye,40,fixedER,stockRecruit,0.4,0,1,FALSE,med,NA,NA,0.2,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
medSigFixed,medSynch,fixedER,synch,2,sockeye,40,fixedER,stockRecruit,0.4,0,1,FALSE,med,NA,NA,0.2,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
