stk,stkName,yr,cyc,marCatch,marER,frfnCatch,frfnER,totCatch,totER,totRun
1,E. Stuart,1952,0,148777.00,0.80,6507.00,0.04,155284.00,0.84,185496.00
1,E. Stuart,1953,1,866724.00,0.83,27418.00,0.03,894142.00,0.85,1048178.00
1,E. Stuart,1954,2,198093.00,0.82,8673.00,0.04,206766.00,0.86,241816.00
1,E. Stuart,1955,3,137970.00,0.87,1355.00,0.01,139325.00,0.88,158970.00
1,E. Stuart,1956,0,65136.00,0.70,3073.00,0.03,68209.00,0.73,93229.00
1,E. Stuart,1957,1,289469.00,0.53,23952.00,0.04,313421.00,0.57,548271.00
1,E. Stuart,1958,2,114393.00,0.73,4467.00,0.03,118860.00,0.75,157667.00
1,E. Stuart,1959,3,23336.00,0.88,519.00,0.02,23855.00,0.90,26525.00
1,E. Stuart,1960,0,63432.00,0.62,4128.00,0.04,67560.00,0.66,102667.00
1,E. Stuart,1961,1,996024.00,0.81,30177.00,0.02,1026201.00,0.84,1225122.00
1,E. Stuart,1962,2,75185.00,0.69,6631.00,0.06,81816.00,0.75,108532.00
1,E. Stuart,1963,3,8646.00,0.58,1669.00,0.11,10315.00,0.69,14922.00
1,E. Stuart,1964,0,33303.00,0.44,10769.00,0.14,44072.00,0.58,76078.00
1,E. Stuart,1965,1,225473.00,0.88,7807.00,0.03,233280.00,0.91,256325.00
1,E. Stuart,1966,2,55621.00,0.79,4299.00,0.06,59920.00,0.85,70750.00
1,E. Stuart,1967,3,74337.00,0.75,3140.00,0.03,77477.00,0.79,98521.00
1,E. Stuart,1968,0,13715.00,0.49,12528.00,0.45,26243.00,0.95,27765.00
1,E. Stuart,1969,1,268776.00,0.62,52742.00,0.12,321518.00,0.75,431173.00
1,E. Stuart,1970,2,27397.00,0.32,22780.00,0.27,50177.00,0.59,84566.00
1,E. Stuart,1971,3,180541.00,0.55,49661.00,0.15,230202.00,0.71,326142.00
1,E. Stuart,1972,0,11963.00,0.51,6920.00,0.29,18883.00,0.80,23540.00
1,E. Stuart,1973,1,1015770.00,0.74,50519.00,0.04,1066289.00,0.78,1366181.00
1,E. Stuart,1974,2,102737.00,0.55,44666.00,0.24,147403.00,0.79,186921.00
1,E. Stuart,1975,3,288427.00,0.68,57026.00,0.13,345453.00,0.81,426202.00
1,E. Stuart,1976,0,11622.00,0.29,16213.00,0.41,27835.00,0.70,39596.00
1,E. Stuart,1977,1,1131897.00,0.84,93114.00,0.07,1225011.00,0.91,1342456.00
1,E. Stuart,1978,2,36769.00,0.25,59502.00,0.41,96271.00,0.66,146275.00
1,E. Stuart,1979,3,61075.00,0.27,68881.00,0.31,129956.00,0.58,222702.00
1,E. Stuart,1980,0,7124.00,0.22,7665.00,0.24,14789.00,0.47,31728.00
1,E. Stuart,1981,1,486469.00,0.64,139575.00,0.18,626044.00,0.83,755501.00
1,E. Stuart,1982,2,19885.00,0.25,47361.00,0.59,67246.00,0.84,80125.00
1,E. Stuart,1983,3,12278.00,0.13,54843.00,0.60,67121.00,0.74,90988.00
1,E. Stuart,1984,0,1555.00,0.03,9289.00,0.17,10844.00,0.19,56045.00
1,E. Stuart,1985,1,44883.00,0.13,77428.00,0.22,122311.00,0.34,356830.00
1,E. Stuart,1986,2,3162.00,0.07,13854.00,0.30,17016.00,0.37,45600.00
1,E. Stuart,1987,3,7188.00,0.04,22385.00,0.13,29573.00,0.17,177767.00
1,E. Stuart,1988,0,13365.00,0.06,28403.00,0.13,41768.00,0.19,221575.00
1,E. Stuart,1989,1,627746.00,0.52,199254.00,0.16,827000.00,0.68,1211799.00
1,E. Stuart,1990,2,5746.00,0.04,52084.00,0.34,57830.00,0.37,154865.00
1,E. Stuart,1991,3,182940.00,0.36,188394.00,0.37,371334.00,0.72,512453.00
1,E. Stuart,1992,0,6780.00,0.02,164529.00,0.47,171309.00,0.49,350407.00
1,E. Stuart,1993,1,208617.00,0.18,255059.00,0.22,463676.00,0.40,1151643.00
1,E. Stuart,1994,2,6160.00,0.03,40254.00,0.20,46414.00,0.23,204245.00
1,E. Stuart,1995,3,9246.00,0.07,6209.00,0.04,15455.00,0.11,138165.00
1,E. Stuart,1996,0,5405.00,0.06,2576.00,0.03,7981.00,0.08,95550.00
1,E. Stuart,1997,1,366773.00,0.22,404934.00,0.24,771707.00,0.46,1671734.82
1,E. Stuart,1998,2,5993.00,0.03,15027.00,0.08,21020.00,0.11,189759.38
1,E. Stuart,1999,3,4470.00,0.03,22334.00,0.13,26804.00,0.16,171628.61
1,E. Stuart,2000,0,11450.00,0.03,214508.00,0.57,225958.00,0.60,378191.55
