"stk","stkName","yr","cyc","rec","eff","ets","rec2","rec3","rec4","rec5","rec6"
1,"E. Stuart",2012,4,NA,0.006812,0.019822,NA,NA,NA,NA,NA
1,"E. Stuart",2013,1,NA,0.039658,0.07531,NA,NA,NA,NA,NA
1,"E. Stuart",2014,2,NA,0.023298,0.045781,NA,NA,NA,NA,NA
1,"E. Stuart",2015,3,NA,0.00406,0.0075703,NA,NA,NA,NA,NA
2,"L. Stuart",1948,4,0.000327,NA,NA,0,0,0.000327,0,0
2,"L. Stuart",1949,1,1.526554,0.039085,0.069684,0,0.003433,1.526554,0,0
2,"L. Stuart",1950,2,0.03909,0.001834,0.003869,0,0.000591,0.036671,0.002419,0
2,"L. Stuart",1951,3,0.063644,0.001246,0.002774,0,0,0.056085,0.007559,0
2,"L. Stuart",1952,4,0.003887,1.6e-05,3.29e-05,0,8.6e-05,0.003858,2.9e-05,0
2,"L. Stuart",1953,1,1.549542,0.078686,0.167574,0,0.00083,1.548072,0.00147,0
2,"L. Stuart",1954,2,0.137815,0.002687,0.005388,0,0.00015,0.135111,0.002704,0
2,"L. Stuart",1955,3,0.051316,0.003274,0.007197,0,2.9e-05,0.050196,0.00112,0
2,"L. Stuart",1956,4,0.046102,0.000466,0.000831,0,0,0.013472,0.03263,0
2,"L. Stuart",1957,1,1.32901,0.300038,0.508285,0,0.000874,1.327094,0.001916,0
2,"L. Stuart",1958,2,0.054005,0.013152,0.023619,0,0.000672,0.053044,0.000961,0
2,"L. Stuart",1959,3,0.007325,0.00409,0.007991,0,6.7e-05,0.006092,0.001233,0
2,"L. Stuart",1960,4,0.00959,0.001307,0.002313,0,2.7e-05,0.006658,0.002932,0
2,"L. Stuart",1961,1,0.77792,0.194461,0.321547,0,0.000143,0.770385,0.007535,0
2,"L. Stuart",1962,2,0.045024,0.009073,0.015711,0,4.5e-05,0.043107,0.001917,0
2,"L. Stuart",1963,3,0.012024,0.001092,0.002403,0,2.5e-05,0.011911,0.000113,0
2,"L. Stuart",1964,4,0.003041,0.000824,0.001816,0,6e-05,0.001806,0.001235,0
2,"L. Stuart",1965,1,1.1242,0.122786,0.201891,0,0.000228,1.102448,0.021752,0
2,"L. Stuart",1966,2,0.073805,0.004164,0.007986,0,0.000274,0.071954,0.001851,0
2,"L. Stuart",1967,3,0.016332,0.000897,0.00155,0,0.000224,0.006294,0.010038,0
2,"L. Stuart",1968,4,0.031299,0.000179,0.000355,0,0,0.027393,0.003906,0
2,"L. Stuart",1969,1,1.62278,0.1143,0.194852,0,0.002756,1.602892,0.019888,0
2,"L. Stuart",1970,2,0.07052,0.008027,0.0147,0,0.000318,0.07052,0,0
2,"L. Stuart",1971,3,0.065527,0.000725,0.001429,0,0.001243,0.065527,0,0
2,"L. Stuart",1972,4,0.018766,0.003411,0.007341,0,0,0.01618,0.002586,0
2,"L. Stuart",1973,1,0.663965,0.116703,0.206276,0,0.00029,0.658158,0.005807,0
2,"L. Stuart",1974,2,0.049861,0.007371,0.013877,0,0.000855,0.048593,0.001268,0
2,"L. Stuart",1975,3,0.214575,0.005679,0.011264,0,0.000541,0.214097,0.000478,0
2,"L. Stuart",1976,4,0.003339,0.001674,0.002817,0,0,0.003339,0,0
2,"L. Stuart",1977,1,1.357637,0.075962,0.143842,0,0.000104,1.313861,0.043776,0
2,"L. Stuart",1978,2,0.078748,0.007115,0.012738,0,0.000699,0.06982,0.008928,0
2,"L. Stuart",1979,3,0.006854,0.016711,0.031918,0,0,0.006854,0,0
2,"L. Stuart",1980,4,0.02144,0.000287,0.000554,0,0,0.02144,0,0
2,"L. Stuart",1981,1,2.033901,0.120124,0.229409,0,0,1.97801,0.055891,0
2,"L. Stuart",1982,2,0.060796,0.008681,0.016758,0,0.000193,0.052097,0.008699,0
2,"L. Stuart",1983,3,0.017912,0.001451,0.002246,0,0,0.014195,0.003717,0
2,"L. Stuart",1984,4,0.014522,0.000672,0.001228,0,0.000222,0.014522,0,0
2,"L. Stuart",1985,1,3.499874,0.159048,0.265387,0,0.007755,3.367086,0.132788,0
2,"L. Stuart",1986,2,0.816297,0.015045,0.026807,0,0.000264,0.725126,0.091171,0
2,"L. Stuart",1987,3,0.379087,0.002392,0.005316,0,0.000984,0.283932,0.095155,0
2,"L. Stuart",1988,4,0.207234,0.003638,0.007072,0,0.001552,0.207234,0,0
2,"L. Stuart",1989,1,5.306868,0.327098,0.571901,0,0.020256,5.162734,0.144134,0
2,"L. Stuart",1990,2,0.389339,0.111747,0.188795,0,0.00044,0.372685,0.016654,0
2,"L. Stuart",1991,3,0.109227,0.0402,0.07686,0,0.000354,0.091441,0.017786,0
2,"L. Stuart",1992,4,0.135399,0.012422,0.019513,0,0,0.12897,0.006429,0
2,"L. Stuart",1993,1,3.760174,1.184283,1.79906,0,0.004082,3.249145,0.511029,0
2,"L. Stuart",1994,2,0.11544,0.040705,0.074911,0,0,0.108011,0.007429,0
2,"L. Stuart",1995,3,0.132088,0.017181,0.034362,0,0.001366,0.092713,0.039375,0
2,"L. Stuart",1996,4,1.022393,0.027297,0.053425,0,0.000607,0.810002,0.212391,0
2,"L. Stuart",1997,1,0.430814,0.415149,0.797917,0,8.1e-05,0.351715,0.079099,0
2,"L. Stuart",1998,2,0.27695,0.067834,0.136054,0,0.000312,0.26439,0.01256,0
2,"L. Stuart",1999,3,0.133599,0.0338,0.059398,0,2.3e-05,0.11752,0.016079,0
2,"L. Stuart",2000,4,0.911116,0.22624,0.440831,0,0.001827,0.868657,0.042459,0
2,"L. Stuart",2001,1,0.505314,0.179534,0.337986,0,2.9e-05,0.415504,0.08981,0
2,"L. Stuart",2002,2,0.125932,0.01782,0.034369,0,2e-05,0.121483,0.004449,0
2,"L. Stuart",2003,3,0.021772,0.019208,0.03654,0,1.1e-05,0.015962,0.00581,0
