"stkName","stk","cuSimName","manUnit","model","usER","minER","tauCycAge","alpha","beta0","sigma","meanRec2","meanRec3","meanRec4","meanRec5","meanRec6","medianRec","lowQRec","highQRec","maxRec","meanDBE"
"Portland Inlet",1,"test","SA3","ricker",NA,0.1,0.8,1.20078422957042,2.63981442040467e-05,0.749244054735159,0,0.01986,0.89403,0.08388,0.0022,328.4273487,63.92923706,1825.917553,7154.313802,NA
"Portland Inlet",1,"test","SA3","ricker",NA,0.1,0.8,1.20078422957042,2.63981442040467e-05,0.749244054735159,0,0.14354,0.69377,0.15789,0.00478,36853.31675,23552.84536,52501.7263125,92832.77153,NA
"Lower Nass",2,"test","SA3","ricker",NA,0.1,0.8,1.03818570753671,5.34792708476844e-05,1.50520482344198,0,0.01986,0.89403,0.08388,0.0022,23487.71337,12435.86147,34622.3194725,299204.8659,NA
"Lower Nass",2,"test","SA3","ricker",NA,0.1,0.8,1.03818570753671,5.34792708476844e-05,1.50520482344198,0,0.05472,0.79601,0.1393,0.00995,10236.53101,999.6320504,25558.87503,507351.2693,NA
"Portland Canal-Observatory",3,"test","SA3","ricker",NA,0.1,0.8,1.23495558131409,1.65626918024551e-05,2.22601597878348,0,0.01986,0.89403,0.08388,0.0022,1507.672265,847.765341,4026.10625625,24071.26476,NA
"Portland Canal-Observatory",3,"test","SA3","ricker",NA,0.1,0.8,1.23495558131409,1.65626918024551e-05,2.22601597878348,0,0.14354,0.69377,0.15789,0.00478,64110.694875,34382.238045,93075.2291775,265643.423,NA
