"stk","yr","ets","rec2","rec3","rec4","rec5","rec6"
"1",1954,21704.16576,0,10062.29494,29892.93158,4334.784146,133.6997908
"1",1955,4323.876772,0,6184.744465,19046.77882,4412.093096,169.5155679
"1",1956,18528.01402,0,3940.71286,19386.46966,5594.01374,422.6138507
"1",1957,33234.50382,0,4010.993723,24579.75734,13946.25707,247.2138232
"1",1958,22891.11232,0,5085.467037,61279.00835,8158.056167,543.4857368
"1",1959,15621.65888,0,12678.41552,35846.00437,17935.02931,192.7382747
"1",1960,16567.08884,0,7416.414698,78805.43184,6360.363064,250.5619296
"1",1961,21161.23311,0,16304.5721,27947.04983,8268.543677,253.0994999
"1",1962,61409.06862,0,5782.14824,36331.47979,8352.283497,374.4103596
"1",1963,40164.85029,0,7516.857888,36699.42749,12355.54187,218.1449061
"1",1964,75516.55736,0,7592.984998,54289.50214,7198.7819,262.6055712
"1",1965,22310.28564,0,11232.31079,31631.01138,8665.98385,157.8039072
"1",1966,33194.09115,0,6544.347182,38077.80783,5207.528938,475.4393089
"1",1967,23134.02355,0,7878.167136,22881.56654,15689.49719,312.3904203
"1",1968,44179.55887,0,4734.117216,68938.6998,10308.88387,420.0803408
"1",1969,26555.27292,0,14263.17927,45296.61094,13862.65125,138.0834565
"1",1970,34742.34331,0,9371.712608,60911.64942,4556.754066,145.91855
"1",1971,21401.95919,0,12602.41023,20022.1012,4815.312149,437.8210055
"1",1972,63020.99484,0,4142.503697,21158.18975,14448.09318,318.6984721
"1",1973,45245.84245,0,4377.556499,63484.0458,10517.04958,88.65190094
"1",1974,51441.13762,0,13134.63017,46211.27845,2925.512731,178.2993115
"1",1975,20637.6035,0,9560.954163,12854.52564,5883.87728,60.55845862
"1",1976,22622.92123,0,2659.557028,25853.40017,1998.429134,97.81884489
"1",1977,40072.38372,0,5348.979346,8780.9765,3228.021881,178.1519422
"1",1978,35711.89708,0,1816.753759,14183.73251,5879.014091,377.7246101
"1",1979,11149.86832,0,2934.565347,25832.03161,12464.91213,275.1345468
"1",1980,20810.6969,0,5344.558265,54770.06846,9079.440045,56.08852241
"1",1981,7038.912187,0,11331.7383,39894.50929,1850.921239,99.46714159
"1",1982,11782.52692,0,8254.036405,8132.835749,3282.415672,291.589746
