Stock_Country,stock_code,run_year,brood_year,method,age,Mature_Term_Run
CA,RBT,1978,1973,BROOD YEAR METHOD,5,38.6
CA,RBT,1977,1973,BROOD YEAR METHOD,4,189.5
CA,RBT,1976,1973,BROOD YEAR METHOD,3,107
CA,RBT,1975,1973,BROOD YEAR METHOD,2,65.8
CA,RBT,1979,1974,BROOD YEAR METHOD,5,114.9
CA,RBT,1978,1974,BROOD YEAR METHOD,4,925.6
CA,RBT,1977,1974,BROOD YEAR METHOD,3,1307.7
CA,RBT,1976,1974,BROOD YEAR METHOD,2,387.9
CA,RBT,1980,1975,BROOD YEAR METHOD,5,171
CA,RBT,1979,1975,BROOD YEAR METHOD,4,648
CA,RBT,1978,1975,BROOD YEAR METHOD,3,579
CA,RBT,1977,1975,BROOD YEAR METHOD,2,322.5
CA,RBT,1981,1976,BROOD YEAR METHOD,5,120.2
CA,RBT,1980,1976,BROOD YEAR METHOD,4,1419.4
CA,RBT,1979,1976,BROOD YEAR METHOD,3,1013.2
CA,RBT,1978,1976,BROOD YEAR METHOD,2,643.9
CA,RBT,1982,1977,BROOD YEAR METHOD,5,72.5
CA,RBT,1981,1977,BROOD YEAR METHOD,4,121.7
CA,RBT,1980,1977,BROOD YEAR METHOD,3,214.3
CA,RBT,1979,1977,BROOD YEAR METHOD,2,269
CA,RBT,1983,1978,BROOD YEAR METHOD,5,287
CA,RBT,1982,1978,BROOD YEAR METHOD,4,838.2
CA,RBT,1981,1978,BROOD YEAR METHOD,3,503
CA,RBT,1980,1978,BROOD YEAR METHOD,2,351.4
CA,RBT,1984,1979,BROOD YEAR METHOD,5,423.2
CA,RBT,1983,1979,BROOD YEAR METHOD,4,709.7
CA,RBT,1982,1979,BROOD YEAR METHOD,3,592.6
CA,RBT,1981,1979,BROOD YEAR METHOD,2,189
CA,RBT,1985,1980,BROOD YEAR METHOD,5,127.5
CA,RBT,1984,1980,BROOD YEAR METHOD,4,831.3
CA,RBT,1983,1980,BROOD YEAR METHOD,3,199.9
CA,RBT,1982,1980,BROOD YEAR METHOD,2,116.7
CA,RBT,1986,1981,BROOD YEAR METHOD,5,75.6
CA,RBT,1985,1981,BROOD YEAR METHOD,4,506.1
CA,RBT,1984,1981,BROOD YEAR METHOD,3,158.1
CA,RBT,1983,1981,BROOD YEAR METHOD,2,61
CA,RBT,1987,1982,BROOD YEAR METHOD,5,53
CA,RBT,1986,1982,BROOD YEAR METHOD,4,342.6
CA,RBT,1985,1982,BROOD YEAR METHOD,3,213.3
CA,RBT,1984,1982,BROOD YEAR METHOD,2,26.5
CA,RBT,1988,1983,BROOD YEAR METHOD,5,0
CA,RBT,1987,1983,BROOD YEAR METHOD,4,27.8
CA,RBT,1986,1983,BROOD YEAR METHOD,3,10
CA,RBT,1985,1983,BROOD YEAR METHOD,2,17.5
CA,RBT,1989,1984,BROOD YEAR METHOD,5,362.1
CA,RBT,1988,1984,BROOD YEAR METHOD,4,1146.5
CA,RBT,1987,1984,BROOD YEAR METHOD,3,880.4
CA,RBT,1986,1984,BROOD YEAR METHOD,2,109
CA,RBT,1990,1985,BROOD YEAR METHOD,5,328.4
CA,RBT,1989,1985,BROOD YEAR METHOD,4,1017.5
CA,RBT,1988,1985,BROOD YEAR METHOD,3,509.4
CA,RBT,1987,1985,BROOD YEAR METHOD,2,129.8
CA,RBT,1991,1986,BROOD YEAR METHOD,5,1722.1
CA,RBT,1990,1986,BROOD YEAR METHOD,4,3399.9
CA,RBT,1989,1986,BROOD YEAR METHOD,3,1880.6
CA,RBT,1988,1986,BROOD YEAR METHOD,2,329.4
CA,RBT,1992,1987,BROOD YEAR METHOD,5,1547.5
CA,RBT,1991,1987,BROOD YEAR METHOD,4,4186.2
CA,RBT,1990,1987,BROOD YEAR METHOD,3,2080.3
CA,RBT,1989,1987,BROOD YEAR METHOD,2,906.5
CA,RBT,1993,1988,BROOD YEAR METHOD,5,738.5
CA,RBT,1992,1988,BROOD YEAR METHOD,4,2316
CA,RBT,1991,1988,BROOD YEAR METHOD,3,1406.6
CA,RBT,1990,1988,BROOD YEAR METHOD,2,406.1
CA,RBT,1994,1989,BROOD YEAR METHOD,5,696.5
CA,RBT,1993,1989,BROOD YEAR METHOD,4,2078.6
CA,RBT,1992,1989,BROOD YEAR METHOD,3,795
CA,RBT,1991,1989,BROOD YEAR METHOD,2,396.4
CA,RBT,1995,1990,BROOD YEAR METHOD,5,761.4
CA,RBT,1994,1990,BROOD YEAR METHOD,4,1289
CA,RBT,1993,1990,BROOD YEAR METHOD,3,579.9
CA,RBT,1992,1990,BROOD YEAR METHOD,2,58.5
CA,RBT,1996,1991,BROOD YEAR METHOD,5,52.2
CA,RBT,1995,1991,BROOD YEAR METHOD,4,211.3
CA,RBT,1994,1991,BROOD YEAR METHOD,3,76.4
CA,RBT,1993,1991,BROOD YEAR METHOD,2,45.2
CA,RBT,1997,1992,BROOD YEAR METHOD,5,0
CA,RBT,1996,1992,BROOD YEAR METHOD,4,1
CA,RBT,1995,1992,BROOD YEAR METHOD,3,12.2
CA,RBT,1994,1992,BROOD YEAR METHOD,2,0
CA,RBT,1998,1993,BROOD YEAR METHOD,5,90.8
CA,RBT,1997,1993,BROOD YEAR METHOD,4,465.2
CA,RBT,1996,1993,BROOD YEAR METHOD,3,568.1
CA,RBT,1995,1993,BROOD YEAR METHOD,2,39.4
CA,RBT,1999,1994,BROOD YEAR METHOD,5,566.1
CA,RBT,1998,1994,BROOD YEAR METHOD,4,1790.7
CA,RBT,1997,1994,BROOD YEAR METHOD,3,932.5
CA,RBT,1996,1994,BROOD YEAR METHOD,2,34.3
CA,RBT,2000,1995,BROOD YEAR METHOD,5,57
CA,RBT,1999,1995,BROOD YEAR METHOD,4,166.4
CA,RBT,1998,1995,BROOD YEAR METHOD,3,65
CA,RBT,1997,1995,BROOD YEAR METHOD,2,15.4
CA,RBT,2001,1996,BROOD YEAR METHOD,5,21
CA,RBT,2000,1996,BROOD YEAR METHOD,4,63
CA,RBT,1999,1996,BROOD YEAR METHOD,3,32.1
CA,RBT,1998,1996,BROOD YEAR METHOD,2,0
CA,RBT,2002,1997,BROOD YEAR METHOD,5,1
CA,RBT,2001,1997,BROOD YEAR METHOD,4,30.3
CA,RBT,2000,1997,BROOD YEAR METHOD,3,3
CA,RBT,1999,1997,BROOD YEAR METHOD,2,0
CA,RBT,2003,1998,BROOD YEAR METHOD,5,192.7
CA,RBT,2002,1998,BROOD YEAR METHOD,4,1041.2
CA,RBT,2001,1998,BROOD YEAR METHOD,3,697.4
CA,RBT,2000,1998,BROOD YEAR METHOD,2,54.7
CA,RBT,2004,1999,BROOD YEAR METHOD,5,849.6
CA,RBT,2003,1999,BROOD YEAR METHOD,4,1206.7
CA,RBT,2002,1999,BROOD YEAR METHOD,3,449.9
CA,RBT,2001,1999,BROOD YEAR METHOD,2,83.5
CA,RBT,2005,2000,BROOD YEAR METHOD,5,232.1
CA,RBT,2004,2000,BROOD YEAR METHOD,4,1076.6
CA,RBT,2003,2000,BROOD YEAR METHOD,3,656.3
CA,RBT,2002,2000,BROOD YEAR METHOD,2,30.8
CA,RBT,2006,2001,BROOD YEAR METHOD,5,282.5
CA,RBT,2005,2001,BROOD YEAR METHOD,4,1428.7
CA,RBT,2004,2001,BROOD YEAR METHOD,3,1494.7
CA,RBT,2003,2001,BROOD YEAR METHOD,2,142.8
CA,RBT,2007,2002,BROOD YEAR METHOD,5,133.3
CA,RBT,2006,2002,BROOD YEAR METHOD,4,866.8
CA,RBT,2005,2002,BROOD YEAR METHOD,3,244.5
CA,RBT,2004,2002,BROOD YEAR METHOD,2,35.7
CA,RBT,2008,2003,BROOD YEAR METHOD,5,325.6
CA,RBT,2007,2003,BROOD YEAR METHOD,4,1066.6
CA,RBT,2006,2003,BROOD YEAR METHOD,3,788.9
CA,RBT,2005,2003,BROOD YEAR METHOD,2,33.5
CA,RBT,2009,2004,BROOD YEAR METHOD,5,50.6
CA,RBT,2008,2004,BROOD YEAR METHOD,4,163.4
CA,RBT,2007,2004,BROOD YEAR METHOD,3,65.1
CA,RBT,2006,2004,BROOD YEAR METHOD,2,12.8
CA,RBT,2010,2005,BROOD YEAR METHOD,5,38
CA,RBT,2009,2005,BROOD YEAR METHOD,4,696.2
CA,RBT,2008,2005,BROOD YEAR METHOD,3,696.1
CA,RBT,2007,2005,BROOD YEAR METHOD,2,78.5
CA,RBT,2011,2006,BROOD YEAR METHOD,5,17.4
CA,RBT,2010,2006,BROOD YEAR METHOD,4,181.3
CA,RBT,2009,2006,BROOD YEAR METHOD,3,76.5
CA,RBT,2008,2006,BROOD YEAR METHOD,2,28.6
CA,RBT,2012,2007,BROOD YEAR METHOD,5,375.8
CA,RBT,2011,2007,BROOD YEAR METHOD,4,1143.9
CA,RBT,2010,2007,BROOD YEAR METHOD,3,642.1
CA,RBT,2009,2007,BROOD YEAR METHOD,2,58.2
CA,RBT,2013,2008,BROOD YEAR METHOD,5,108.5
CA,RBT,2012,2008,BROOD YEAR METHOD,4,790.6
CA,RBT,2011,2008,BROOD YEAR METHOD,3,363.9
CA,RBT,2010,2008,BROOD YEAR METHOD,2,81.2
CA,RBT,2014,2009,BROOD YEAR METHOD,5,43.7
CA,RBT,2013,2009,BROOD YEAR METHOD,4,191.6
CA,RBT,2012,2009,BROOD YEAR METHOD,3,112.5
CA,RBT,2011,2009,BROOD YEAR METHOD,2,7
CA,RBT,2015,2010,BROOD YEAR METHOD,5,55.2
CA,RBT,2014,2010,BROOD YEAR METHOD,4,975.4
CA,RBT,2013,2010,BROOD YEAR METHOD,3,659.7
CA,RBT,2012,2010,BROOD YEAR METHOD,2,91.7
CA,RBT,2016,2011,BROOD YEAR METHOD,5,16
CA,RBT,2015,2011,BROOD YEAR METHOD,4,84.7
CA,RBT,2014,2011,BROOD YEAR METHOD,3,108.7
CA,RBT,2013,2011,BROOD YEAR METHOD,2,12.2
CA,RBT,2017,2012,BROOD YEAR METHOD,5,626.5
CA,RBT,2016,2012,BROOD YEAR METHOD,4,1806.3
CA,RBT,2015,2012,BROOD YEAR METHOD,3,2239.4
CA,RBT,2014,2012,BROOD YEAR METHOD,2,400.6
CA,RBT,2018,2013,BROOD YEAR METHOD,5,158.5
CA,RBT,2017,2013,BROOD YEAR METHOD,4,1592.1
CA,RBT,2016,2013,BROOD YEAR METHOD,3,1081.1
CA,RBT,2015,2013,BROOD YEAR METHOD,2,106.3
CA,RBT,2019,2014,BROOD YEAR METHOD,5,97.4
CA,RBT,2018,2014,BROOD YEAR METHOD,4,1511.4
CA,RBT,2017,2014,BROOD YEAR METHOD,3,1829.9
CA,RBT,2016,2014,BROOD YEAR METHOD,2,360.4
CA,RBT,2020,2015,BROOD YEAR METHOD,5,323.7
CA,RBT,2019,2015,BROOD YEAR METHOD,4,5662.1
CA,RBT,2018,2015,BROOD YEAR METHOD,3,4127.5
CA,RBT,2017,2015,BROOD YEAR METHOD,2,607.5
CA,RBT,2021,2016,BROOD YEAR METHOD,5,382
CA,RBT,2020,2016,BROOD YEAR METHOD,4,3935.8
CA,RBT,2019,2016,BROOD YEAR METHOD,3,3182.9
CA,RBT,2018,2016,BROOD YEAR METHOD,2,118.3
CA,RBT,2022,2017,BROOD YEAR METHOD,5,346.7
CA,RBT,2021,2017,BROOD YEAR METHOD,4,4582
CA,RBT,2020,2017,BROOD YEAR METHOD,3,3880.7
CA,RBT,2019,2017,BROOD YEAR METHOD,2,339.6
CA,RBT,2022,2018,BROOD YEAR METHOD,4,2520.9
CA,RBT,2021,2018,BROOD YEAR METHOD,3,2961.1
CA,RBT,2020,2018,BROOD YEAR METHOD,2,262.8
CA,RBT,2022,2019,BROOD YEAR METHOD,3,1570.4
CA,RBT,2021,2019,BROOD YEAR METHOD,2,334.6
CA,RBT,2022,2020,BROOD YEAR METHOD,2,116.9
