"stk","alpha","beta0","sigma","deviance"
1,1.428,2.149,0.8019,-93.96
1,1.487,2.369,0.8441,-93.13
1,1.364,1.456,0.8348,-94.19
1,1.192,1.836,0.7141,-87.42
1,1.226,2.14,0.83,-90.41
1,1.172,0.9919,0.8189,-91.85
1,1.456,1.639,0.7409,-92.76
1,1.28,1.252,0.9335,-91.44
1,1.441,1.384,0.8494,-93.25
1,1.301,1.261,0.8077,-94.06
1,1.23,1.802,0.8836,-91.24
1,1.253,2.27,0.982,-87.4
1,1.271,1.546,0.8792,-92.71
1,1.287,0.6049,0.8328,-92.73
1,1.324,1.204,0.9234,-91.98
1,1.403,1.802,0.7798,-94.21
1,1.34,1.416,0.9017,-92.79
1,1.21,0.6265,0.8429,-92.26
1,1.48,2.445,0.786,-93.12
1,1.594,2.873,0.8674,-90.65
1,1.323,0.8505,0.8353,-93.32
1,1.269,1.384,0.7695,-93.35
1,1.615,2.985,0.832,-90.28
1,1.401,0.6393,0.8985,-90.64
1,1.292,0.8222,0.7777,-93.19
1,1.223,1.24,0.9181,-91.2
1,1.263,0.7531,0.9176,-91.4
1,1.295,1.475,0.9532,-90.82
1,1.273,0.8213,0.8808,-92.52
1,1.322,1.234,0.7409,-93.22
1,1.464,1.866,0.7712,-93.58
1,1.471,0.888,0.8488,-90.9
1,1.447,1.14,0.8281,-92.66
1,1.25,0.9838,0.7895,-93.29
1,1.367,2.446,0.7012,-89.55
1,1.449,1.096,0.7149,-90.09
1,1.444,2.502,1.05,-86.09
1,1.315,0.7726,0.8352,-93.14
1,1.289,0.5063,0.8091,-92.44
1,1.191,0.9658,0.8716,-91.82
1,1.309,1.358,0.7536,-93.57
1,1.381,1.505,0.8032,-94.35
1,1.337,1.4,0.862,-93.73
1,1.097,0.6679,0.905,-88.91
1,1.336,1.024,0.8714,-93.12
1,1.216,1.56,0.9924,-88.05
1,1.32,1.135,0.8558,-93.6
1,1.308,1.465,0.7419,-93.22
1,1.621,2.071,0.7924,-89.79
1,1.394,1.117,0.7022,-90.78
1,1.44,2.806,0.7793,-91.74
1,1.342,0.6085,0.8856,-91.65
1,1.051,0.6278,0.984,-85.38
1,1.387,1.035,0.7161,-91.35
1,1.278,0.8568,0.7858,-93.32
1,1.452,2.099,0.9364,-91.39
1,1.565,1.451,0.864,-90.1
1,1.163,1.641,0.9904,-86.73
1,1.132,0.7491,0.8179,-90.78
1,1.329,1.69,0.883,-93.15
1,1.197,0.4955,0.7025,-88.63
1,1.264,1.076,0.8761,-92.85
1,1.434,1.178,0.8446,-92.91
1,1.448,0.7052,0.799,-90.56
1,1.283,1.15,0.688,-90.26
1,1.343,2.448,0.8903,-91.39
1,1.319,1.436,0.8436,-93.95
1,1.128,0.8968,0.8083,-90.54
1,1.292,0.6928,0.7982,-93.03
1,1.228,0.8925,0.8518,-92.73
1,1.369,1.28,0.9374,-91.52
1,1.273,1.404,0.9522,-90.66
1,1.245,1.194,0.8945,-92.21
1,1.325,0.7425,0.8626,-92.66
1,1.448,1.156,0.753,-91.91
1,1.225,1.593,0.865,-91.98
1,1.295,1.58,0.8759,-93.07
1,1.228,0.982,0.6891,-89.25
1,1.264,0.7785,0.8271,-93.16
1,1.383,1.836,0.7505,-93.69
1,1.456,2.265,0.869,-93.07
1,1.097,0.9829,0.8685,-89.21
1,1.271,0.7454,0.8017,-93.15
1,1.25,1.677,0.8871,-91.94
1,1.373,1.185,0.6862,-90.27
1,1.289,0.7171,0.8155,-93.13
1,1.339,1.36,0.6871,-90.8
1,1.487,1.739,0.7962,-93.32
1,1.232,0.9729,0.841,-92.96
1,1.313,1.084,0.7969,-93.93
1,1.38,1.274,0.8022,-94.07
1,1.3,1.323,0.9235,-91.92
1,1.667,1.019,0.8166,-82.3
1,1.518,2.003,0.9621,-89.79
1,1.379,1.446,0.8215,-94.26
1,1.363,1.286,0.8423,-93.94
1,1.289,1.412,0.7292,-92.55
1,1.412,2.554,0.9738,-89.22
1,1.591,1.751,0.7742,-89.72
1,1.576,1.018,0.8849,-87.45
1,1.303,0.8588,0.8703,-92.87
1,1.502,2.008,0.7422,-92.28
1,1.301,1.092,0.8223,-93.87
1,1.302,2.331,0.7134,-89.13
1,1.444,2.397,0.7742,-93.2
1,1.435,2.789,0.7854,-91.86
1,1.29,1.416,0.9402,-91.27
1,1.494,1.142,0.919,-90.03
1,1.448,1.57,0.8829,-92.84
1,1.278,1.995,0.7552,-91.8
1,1.323,1.411,1.084,-85.01
1,1.152,0.648,0.7446,-89.95
1,1.407,0.8799,0.9058,-91.26
1,1.236,0.5594,0.8303,-92.47
1,1.372,0.8127,0.8239,-92.84
1,1.369,0.6551,0.8771,-91.67
1,1.433,2.073,0.8839,-93.04
1,1.476,2.542,0.8602,-92.65
1,1.306,0.6874,0.8713,-92.43
1,1.321,1.376,0.6919,-91.03
1,1.405,2.265,0.8464,-93.42
1,1.264,1.227,0.7965,-93.63
1,1.431,1.439,0.8708,-93.13
1,1.175,1.036,0.7584,-91.09
1,1.216,0.7246,0.7439,-91.52
1,1.233,1.04,0.7638,-92.68
1,1.291,1.319,0.8561,-93.55
1,1.426,1.846,0.8099,-94.22
1,1.432,1.966,1.032,-87.54
1,1.105,1.276,0.9546,-87.09
1,1.381,2.027,0.8764,-93.22
1,1.162,1.051,0.7368,-89.89
1,1.348,1.592,0.7615,-93.97
1,1.334,2.581,0.8835,-90.83
1,1.366,1.251,0.9048,-92.54
1,1.312,0.667,0.827,-92.89
1,1.426,1.369,0.7852,-93.63
1,1.272,1.867,0.7535,-92.05
1,1.388,2.077,0.7686,-93.71
1,1.17,1.411,0.6882,-86.46
1,1.364,2.821,0.8152,-90.81
1,1.238,1.711,0.7885,-92.27
1,1.326,1.431,0.7107,-92.15
1,1.321,1.767,0.8369,-93.79
1,1.379,2.174,0.9018,-92.32
1,1.498,2.251,0.8738,-92.67
1,1.535,1.981,0.8231,-92.59
1,1.397,1.661,0.8057,-94.36
1,1.269,0.6115,0.8774,-92.14
1,1.312,1.268,0.6911,-90.85
1,1.462,1.296,0.8409,-92.75
1,1.282,1.646,1.052,-86.23
1,1.233,0.9425,0.7341,-91.74
1,1.419,1.598,0.7512,-93.55
1,1.336,1.211,0.6793,-90.03
1,1.481,1.184,0.7669,-91.44
1,1.472,1.91,0.837,-93.61
1,1.207,0.9934,0.8249,-92.65
1,1.171,1.651,0.7395,-88.66
1,1.328,1.674,0.8069,-94.16
1,1.538,1.56,0.76,-90.83
1,1.375,1.4,0.7996,-94.28
1,1.263,0.5399,0.8256,-92.57
1,1.347,0.7517,0.8592,-92.58
1,1.222,0.5089,0.8237,-92.26
1,1.258,1.72,0.8201,-92.91
1,1.257,1.213,0.895,-92.36
1,1.321,1.571,0.8188,-94.15
1,1.234,1.094,0.8046,-93.19
1,1.351,1.117,0.9264,-91.75
1,1.373,1.647,0.807,-94.4
