stk,yr,ets,rec2,rec3,rec4,rec5,rec6
1,1948,0.018061,0,0,0.179412,0.018741,0
1,1949,0.35519,0,0.006218,1.029437,0.001271,0
1,1950,0.053069,0,0.000579,0.240545,0.000542,0
1,1951,0.052825,0,9.00E-06,0.158428,0.015217,0
1,1952,0.027821,0,2.80E-05,0.078012,0.01056,0
1,1953,0.137097,0,0.000294,0.537711,0.002886,0
1,1954,0.034427,0,0.000341,0.154781,0.000701,0
1,1955,0.002052,0,1.10E-05,0.025824,0.001632,0
1,1956,0.024684,0,0,0.101035,0.006393,0
1,1957,0.232256,0,0.00073,1.215763,0.003272,0
1,1958,0.037279,0,0.000755,0.102112,0.00024,0
1,1959,0.002586,0,0,0.014682,0.006153,0
1,1960,0.012397,0,2.20E-05,0.069925,0.004202,0
1,1961,0.16048,0,0.00063,0.252123,0.002208,0
1,1962,0.025398,0,0,0.067661,0.005992,0
1,1963,0.004109,0,0.000332,0.090397,0.001825,0
1,1964,0.002319,0,0.001027,0.02594,0.012949,0
1,1965,0.018543,0,0.000432,0.415253,0.001526,0
1,1966,0.01009,0,0.001746,0.08304,0,0
1,1967,0.019949,0,0.000423,0.326142,0.013128,0
1,1968,0.00134,0,1.10E-05,0.010412,0,0
1,1969,0.089746,0,0.000648,1.366181,0.004452,0
1,1970,0.028206,0,0.001212,0.178232,0.001312,0
1,1971,0.08544,0,0.000311,0.42351,0.006993,0
1,1972,0.004219,0,2.50E-05,0.032207,0,0
1,1973,0.295915,0,0.004591,1.342456,0.003951,0
1,1974,0.038013,0,0.001242,0.141307,0.002218,0
1,1975,0.052052,0,0.00015,0.220007,0.002852,0
1,1976,0.011431,0,4.30E-05,0.0288,0.003034,0
1,1977,0.086551,0,0.000572,0.752467,0.008655,0
1,1978,0.035786,0,0.000202,0.07147,0.00118,0
1,1979,0.069277,0,3.40E-05,0.089807,0.017889,0
1,1980,0.012648,0,1.00E-05,0.03795,0.025541,0
1,1981,0.123195,0,4.60E-05,0.33129,0.018805,0
1,1982,0.003749,0,1.30E-05,0.026796,0.001007,0
1,1983,0.020443,0,0.000423,0.17676,0.010949,0
1,1984,0.040202,0,0.00024,0.209867,0.029536,0
1,1985,0.215698,0,0.002414,1.179879,0.026057,0
1,1986,0.027352,0,5.60E-05,0.12828,0.017603,0
1,1987,0.135361,0,8.00E-06,0.494847,0.031065,0
1,1988,0.174002,0,3.30E-05,0.319342,0.059894,0
1,1989,0.365639,0,0.00042,1.091749,0.045932,0
1,1990,0.093371,0,2.00E-06,0.156963,0.009121,0
1,1991,0.138286,0,0.000514,0.129192,0.014581,0
1,1992,0.05838,0,1.00E-05,0.080797,0.019569,0
1,1993,0.679396,0,0.000847,1.652166,0.16177,0
1,1994,0.026703,0,6.00E-06,0.02799,0.001034,0
1,1995,0.108053,0,2.00E-05,0.170595,0.018985,0
1,1996,0.083274,0,0,0.359206,0.10494,0
1,1997,0.216779,0,1.00E-06,0.109249,0.038121,0
1,1998,0.018221,0,2.00E-06,0.024341,0.004349,0
1,1999,0.020883,0,0,0.025927,0.004639,0
1,2000,0.079487,0,0,0.132457,0.003417,0
1,2001,0.158779,0,5.00E-06,0.216279,0.035722,0
1,2002,0.023742,0,0,0.020266,0.0043,0
1,2003,0.012718,0,0,0.008431,0.001588,0
1,2004,0.008948,0,0,0.032387,0.005077198,0
1,2005,0.097771,0,4.90E-05,0.076119303,0.007843862,0
1,2006,0.032016,0,0,0.096013086,0.01060328,0
1,2007,0.00459,0,0,0.010551212,0.000146711,0
1,2008,0.026262,0,1.00E-06,0.183791609,0.009158711,0
1,2009,0.042983,0,3.00E-06,0.172777765,0.030113412,0
1,2010,0.055378,0,5.30E-05,0.191812703,0.026478597,0
1,2011,0.000617,0,3.00E-06,0.002258977,0.000735,0
1,2012,0.019822,NA,NA,NA,NA,NA
1,2013,0.07531,NA,NA,NA,NA,NA
1,2014,0.045781,NA,NA,NA,NA,NA
1,2015,0.0075703,NA,NA,NA,NA,NA
2,1948,NA,0,0,0.000327,0,0
2,1949,0.069684,0,0.003433,1.526554,0,0
2,1950,0.003869,0,0.000591,0.036671,0.002419,0
2,1951,0.002774,0,0,0.056085,0.007559,0
2,1952,3.29E-05,0,8.60E-05,0.003858,2.90E-05,0
2,1953,0.167574,0,0.00083,1.548072,0.00147,0
2,1954,0.005388,0,0.00015,0.135111,0.002704,0
2,1955,0.007197,0,2.90E-05,0.050196,0.00112,0
2,1956,0.000831,0,0,0.013472,0.03263,0
2,1957,0.508285,0,0.000874,1.327094,0.001916,0
2,1958,0.023619,0,0.000672,0.053044,0.000961,0
2,1959,0.007991,0,6.70E-05,0.006092,0.001233,0
2,1960,0.002313,0,2.70E-05,0.006658,0.002932,0
2,1961,0.321547,0,0.000143,0.770385,0.007535,0
2,1962,0.015711,0,4.50E-05,0.043107,0.001917,0
2,1963,0.002403,0,2.50E-05,0.011911,0.000113,0
2,1964,0.001816,0,6.00E-05,0.001806,0.001235,0
2,1965,0.201891,0,0.000228,1.102448,0.021752,0
2,1966,0.007986,0,0.000274,0.071954,0.001851,0
2,1967,0.00155,0,0.000224,0.006294,0.010038,0
2,1968,0.000355,0,0,0.027393,0.003906,0
2,1969,0.194852,0,0.002756,1.602892,0.019888,0
2,1970,0.0147,0,0.000318,0.07052,0,0
2,1971,0.001429,0,0.001243,0.065527,0,0
2,1972,0.007341,0,0,0.01618,0.002586,0
2,1973,0.206276,0,0.00029,0.658158,0.005807,0
2,1974,0.013877,0,0.000855,0.048593,0.001268,0
2,1975,0.011264,0,0.000541,0.214097,0.000478,0
2,1976,0.002817,0,0,0.003339,0,0
2,1977,0.143842,0,0.000104,1.313861,0.043776,0
2,1978,0.012738,0,0.000699,0.06982,0.008928,0
2,1979,0.031918,0,0,0.006854,0,0
2,1980,0.000554,0,0,0.02144,0,0
2,1981,0.229409,0,0,1.97801,0.055891,0
2,1982,0.016758,0,0.000193,0.052097,0.008699,0
2,1983,0.002246,0,0,0.014195,0.003717,0
2,1984,0.001228,0,0.000222,0.014522,0,0
2,1985,0.265387,0,0.007755,3.367086,0.132788,0
2,1986,0.026807,0,0.000264,0.725126,0.091171,0
2,1987,0.005316,0,0.000984,0.283932,0.095155,0
2,1988,0.007072,0,0.001552,0.207234,0,0
2,1989,0.571901,0,0.020256,5.162734,0.144134,0
2,1990,0.188795,0,0.00044,0.372685,0.016654,0
2,1991,0.07686,0,0.000354,0.091441,0.017786,0
2,1992,0.019513,0,0,0.12897,0.006429,0
2,1993,1.79906,0,0.004082,3.249145,0.511029,0
2,1994,0.074911,0,0,0.108011,0.007429,0
2,1995,0.034362,0,0.001366,0.092713,0.039375,0
2,1996,0.053425,0,0.000607,0.810002,0.212391,0
2,1997,0.797917,0,8.10E-05,0.351715,0.079099,0
2,1998,0.136054,0,0.000312,0.26439,0.01256,0
2,1999,0.059398,0,2.30E-05,0.11752,0.016079,0
2,2000,0.440831,0,0.001827,0.868657,0.042459,0
2,2001,0.337986,0,2.90E-05,0.415504,0.08981,0
2,2002,0.034369,0,2.00E-05,0.121483,0.004449,0
2,2003,0.03654,0,1.10E-05,0.015962,0.00581,0
2,2004,0.083204,0,0.00022,0.263681,0.019016748,0
2,2005,0.292637,0,8.90E-05,0.10460365,0.01497404,0
2,2006,0.0271,0,3.70E-05,0.169236096,0.005275031,0
2,2007,0.008067,0,4.80E-05,0.005160259,0.008534019,0
2,2008,0.115325,0,0.000326,0.18324652,0.006667625,0
2,2009,0.085806,0,4.00E-05,0.216742123,0.013637361,0
2,2010,0.07373,0,0.000839,0.13504692,0.034987897,0
2,2011,0.002026,0,0,0.003691344,0.00535,0
2,2012,0.056978,NA,NA,NA,NA,NA
2,2013,0.130493,NA,NA,NA,NA,NA
2,2014,0.048115,NA,NA,NA,NA,NA
2,2015,0.01095,NA,NA,NA,NA,NA
3,1948,0.015172,0,0,0.185175,0.022002,0
3,1949,0.070367,0,0.000133,0.173402,0.006341,0
3,1950,0.130439,0,0.00463,0.903768,0.030719,0
3,1951,0.090072,0,2.60E-05,0.354049,0.101292,0
3,1952,0.039217,0,2.30E-05,0.093984,0.016694,0
3,1953,0.040894,0,3.00E-05,0.156192,0.018023,0
3,1954,0.136439,0,0.003311,1.140205,0.067783,0
3,1955,0.049758,0,2.80E-05,0.602677,0.027091,0
3,1956,0.036747,0,9.20E-05,0.2204,0.026243,0
3,1957,0.036199,0,8.00E-06,0.143835,0.008,0
3,1958,0.11159,0,0.001156,0.323089,0.016215,0
3,1959,0.078251,0,1.70E-05,0.514918,0.026485,0
3,1960,0.037923,0,1.90E-05,0.14334,0.021155,0
3,1961,0.033366,0,0.000288,0.137046,0.010068,0
3,1962,0.084089,0,1.00E-04,0.572029,0.017376,0
3,1963,0.077725,0,0.000977,0.713487,0.013462,0
3,1964,0.030202,0,0.000194,0.170674,0.006969,0
3,1965,0.038255,0,0.000179,0.2311,0.012372,0
3,1966,0.095692,0,0.000833,0.336316,0.022757,0
3,1967,0.055008,0,0.000288,0.531886,0.01835,0
3,1968,0.026948,0,8.50E-05,0.1259,0.003837,0
