stkName,tauAge,tauCycAge
Birkenhead,0.7,0.75
Bowron,1.4,1.35
Chilko,0.8,0.675
Cultus,1.1,0.95
E. Stuart,1,0.9
Fennell,1,0.95
Gates,1,0.725
Harrison,1.2,1.075
L. Shuswap,1.9,1.2
L. Stuart,1.5,1.3
Nadina,0.9,0.875
Portage,1.7,1.25
Quesnel,1.8,1.475
Raft,1,0.9
Scotch,1.5,0.875
Seymour,1.5,1.25
Stellako,0.8,0.7
Upper Pitt,0.7,0.675
Weaver,0.8,0.7
