cyc,manUnit,lowRefPt,highRefPt,medDBE
1,EStu,0.108,0.1512,0.5241
1,ESumm,0.11,0.154,0.3893
1,Summ,0.885,1.239,0.1321
1,Lat,0.35,0.49,0.4718
2,EStu,0.108,0.1512,0.5241
2,ESumm,0.18,0.252,0.3893
2,Summ,1.02,1.428,0.1321
2,Lat,1.1,1.54,0.4718
3,EStu,0.108,0.1512,0.5241
3,ESumm,0.1,0.14,0.3893
3,Summ,0.76,1.064,0.1321
3,Lat,0.3,0.42,0.4718
4,EStu,0.108,0.1512,0.5241
4,ESumm,0.1,0.14,0.3893
4,Summ,0.64,0.896,0.1321
4,Lat,0.3,0.42,0.4718
