"stk","alpha","beta0","beta1","beta2","beta3","sigma","deviance"
1,1.838,1.819,2.617,2.349,0.5099,0.8399,-103.8
1,1.536,0.5877,0.6823,2.42,0.7847,0.7956,-98.35
1,1.6,1.029,1.783,2.136,0.7045,0.7725,-103.2
1,1.922,1.622,3.208,1.33,0.9346,0.8691,-103
1,1.622,1.541,1.374,1.392,0.588,0.6647,-103.1
1,1.684,1.249,2.875,2.029,0.7222,0.8299,-103
1,1.847,0.9999,3.722,1.766,0.7602,0.6212,-100.6
1,1.673,1.582,2.614,1.295,0.7805,0.8747,-102.9
1,1.977,1.825,4.717,2.037,1.617,0.8628,-96.34
1,1.455,0.6574,0.99,1.358,0.6561,0.706,-100.5
1,1.722,2.46,2.244,0.4527,0.7036,0.8313,-103.1
1,1.709,1.273,3.674,0.8628,0.7839,0.8488,-102.1
1,1.646,0.6513,1.511,0.995,0.766,0.8255,-102.1
1,2.171,1.498,3.631,2.555,0.3307,0.8093,-97.8
1,2.027,1.874,3.807,1.866,1.394,0.809,-103.3
1,1.743,0.885,2.95,2.246,0.54,0.6595,-103.2
1,1.72,1.245,2.564,1.842,0.2231,0.6623,-105.1
1,1.657,0.6169,1.354,1.389,0.03466,0.7901,-100.7
1,1.716,1.912,3.255,1.395,0.5354,0.8692,-102.4
1,1.883,1.083,3.352,1.125,0.81,0.6861,-103.5
1,1.812,2.664,3.651,0.527,0.2117,0.8583,-101.2
1,1.709,0.5432,2.976,1.622,1.186,0.79,-103.8
1,1.731,0.8569,2.202,3.175,0.6098,0.6946,-98.69
1,1.56,0.7723,0.9873,1.734,1.54,0.7922,-99.92
1,2.022,1.757,3.101,2.477,1.993,0.6976,-101.1
1,1.904,2.302,2.965,0.5311,1.127,0.7685,-103.7
1,1.601,1.496,2.454,0.4319,0.4655,0.8022,-104.3
1,1.842,2.768,3.377,0.9701,0.4836,0.9487,-98.5
1,1.695,1.66,1.498,1.039,1.761,0.7623,-102.7
1,1.568,0.8026,2.607,2.56,0.4293,0.9141,-96.52
1,1.365,1.145,1.606,0.5393,0.6217,0.8244,-99.5
1,1.866,1.847,2.144,1.684,0.8964,0.7216,-106.1
1,1.987,0.6881,4.144,1.682,0.5189,0.6571,-97.19
1,1.987,1.868,3.659,1.213,1.442,0.5838,-95.06
1,1.597,0.8617,0.5133,1.45,0.5255,0.7633,-99.59
1,1.698,0.5911,2.622,0.75,0.8722,0.901,-100.4
1,2.039,1.325,4.02,1.772,1.651,0.9001,-99.03
1,1.732,0.7729,4.091,0.7752,1.626,0.8005,-97.87
1,2.08,1.423,2.708,1.186,1.959,0.8604,-97.87
1,1.946,1.731,4.041,1.761,0.5051,0.7054,-104.2
1,1.895,1.366,2.181,0.4473,0.8407,0.637,-91.86
1,1.7,2.033,3.138,2.288,0.2175,0.7435,-101
1,1.758,0.7048,3.154,1.896,0.06611,0.6945,-104.4
1,1.625,1.326,2.943,1.74,0.5312,0.8261,-102.7
1,1.676,3.567,1.501,1.875,0.01145,0.7603,-95.75
1,2.043,2.391,2.955,1.198,1.222,0.7809,-103.4
1,1.699,3.702,2.988,0.1928,0.5478,0.866,-96.04
1,1.923,0.8709,2.827,2.06,0.5457,0.7235,-103.5
1,1.758,2.042,2.051,1.61,0.5236,0.8387,-104.4
1,2.059,1.122,3.573,1.947,2.797,0.6911,-94.26
1,1.716,1.66,2.858,1.746,0.31,0.7603,-106.1
1,1.864,0.5114,2.533,2.036,1.841,0.7758,-102.3
1,1.844,1.418,3.081,1.024,0.541,0.7552,-105.5
1,1.767,0.8224,2.269,0.6293,1.704,0.7073,-101
