"manUnit","stkName","stk","cuSimName","model","domCycle","usER","minER","tauCycAge","alpha","beta0","sigma","larkAlpha","larkBeta0","larkBeta1","larkBeta2","larkBeta3","larkSigma","meanRec2","meanRec3","meanRec4","meanRec5","meanRec6","medianRec","lowQRec","highQRec","meanDBE","sdDBE","medMA","meanForecast","sdForecast","uMSY","lowFRP","highFRP"
"Summ","L. Stuart",2,"test","larkin",1,0.165,0.1,1.8,1.71,1,1.26,2.03,1.1,1.06,0.9,0.36,1.25,0,0.00353745996446576,0.881409603374003,0.115052936661531,0,0.122809345,0.02892,0.449507,0.0875382883571428,0.29767704220928,0.152984277,2.2531327579574,3.57075331293079,0.657986364849377,0.73770367612324,1.47540735224648
"Summ","Stellako",3,"test","ricker",NA,0.165,0.1,0.75,1.79,3.75,0.86,2.63,3.35,2,0.58,5.42,0.71,0,0.000969123251338709,0.845145264373397,0.153885612375264,0,0.3064765,0.18293825,0.63184625,0.0875382883571428,0.29767704220928,0.152984277,2.2531327579574,3.57075331293079,0.657986364849377,0.73770367612324,1.47540735224648
"Summ","Raft",5,"test","ricker",NA,0.165,0.1,0.9,1.54,24.2,0.78,1.77,23.09,4.69,13.52,9.76,0.79,0,0.00224535133179764,0.746056385714758,0.251698262953445,0,0.0233325,0.00958675,0.04773692775,0.554043849933333,0.25544254661625,0.152984277,2.2531327579574,3.57075331293079,0.657986364849377,0.73770367612324,1.47540735224648
"Summ","Quesnel",6,"test","larkin",1,0.165,0.1,2.975,1.64,0.48,1.01,2.04,0.43,0.27,0.37,0.54,0.85,0,0.00326267540958898,0.91198667528029,0.0847506493101206,0,0.0651813225,0.0027205,1.0587615,0.0875382883571428,0.29767704220928,0.152984277,2.2531327579574,3.57075331293079,0.657986364849377,0.73770367612324,1.47540735224648
"Summ","Chilko",7,"test","ricker",NA,0.165,0.1,0.7,1.85,1.29,0.79,2.22,0.99,0.59,0.47,0.24,0.77,0,0.0110274628375427,0.932670899147405,0.0563016380150523,0,1.1907915,0.5259755,1.82798225,0.0875382883571428,0.29767704220928,0.152984277,2.2531327579574,3.57075331293079,0.657986364849377,0.73770367612324,1.47540735224648
"Summ","Harrison",19,"test","ricker",NA,0.165,0.1,1.1,1.47,2.99,1.35,1.6,2.4,0.6,0.89,1.19,1.42,0.00146726865417398,0.424013895398389,0.574518835947437,0,0,0.041545,0.017811,0.087825,0.257298426583333,0.480988176826155,0.152984277,2.2531327579574,3.57075331293079,0.657986364849377,0.73770367612324,1.47540735224648
