"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnYrsLowCatch","ppnYrsHighCatch","ppnYrsEscGoal","ppnYrsCUsLower","ppnYrsCUsUpper","ppnMixedOpen","ppnSingleOpen","ppnYrsAllMixOpen","ppnCUUpper","ppnCULower","ppnCUEstUpper","ppnCUEstLower","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","ppnCUConstrained","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"lowProd","fixed0.1",0.1,1,"fixedER",1,0.101,2.05004654128028,0.807230776021084,2.1305533186673,0.794331945387987,3.87431880047891,0.789435317102522,4.03856604727567,0.811672853983576,4.21004109264353,0.798335762250763,4.02890935539417,0.776496912617986,3.02140385154262,1.04659288691422,0.820854461039533,1.2182427549137,1.06324084391884,0.814504636569679,1.22774009514733,1.7320062188643,0.258365507031936,0.257135173936325,0.4,0.12,0,0.42,0.08,0.495,1,0.06,0.227777777777778,0.5,0.22,0.496666666666667,0,0.222222222222222,0,1,0,2.170721574535,4.29767045012438,1.18400660403248
"lowProd","fixed0.1",0.1,1,"fixedER",2,0.101,1.8138438125215,0.818902535284058,1.89554160541807,0.840724661069783,3.46128952342583,0.759753516574018,3.00343570298954,0.787173622525585,3.27889095178846,0.788661089712583,3.81527507148459,0.76330251788993,1.80864898280724,0.843735778175129,0.686627021997999,1.45639476449692,0.833760368834565,0.678543520360396,1.47374482254118,0.808343171260043,0.262461646372534,0.253891905234334,0.36,0.06,0,0.22,0,0.43,1,0.02,0.157777777777778,0.465555555555556,0.161111111111111,0.463333333333333,0.0555555555555556,0.333333333333333,0,1,0,1.74483668723494,2.92791438147251,0.746019904763904
"lowProd","fixed0.1",0.1,1,"fixedER",3,0.101,1.80049352365958,0.952824941546064,1.76006946234488,0.972091590639319,3.23470928590214,0.958060475636057,2.82621390460822,1.0023911096129,2.85769436724852,1.04057096176751,3.2581191434546,0.979264825289737,1.60918505982404,0.768596344067626,1.01336312713685,0.986813091201965,0.750466244608715,1.05918265420196,0.944124222609601,0.678832224258285,0.25786630437726,0.260196235123228,0.18,0.1,0,0.38,0.02,0.485,1,0.04,0.223333333333333,0.504444444444444,0.232222222222222,0.503333333333333,0,0.277777777777778,0,1,0,1.91321471114082,3.41462513544823,0.778655409826625
"lowProd","fixed0.1",0.1,1,"fixedER",4,0.101,2.72247770180919,0.641599575021055,3.04944215552668,0.628893057350053,5.08991035166961,0.672261036846412,4.19247249947497,0.77964085490165,4.14661916729103,0.769162942289962,5.34798818134765,0.662723047584091,2.20919994454715,1.40162429191417,0.858850425798147,1.16434709695891,1.46717362226847,0.862314246170884,1.15967004423331,1.11880248727036,0.252582664597075,0.253680036290843,0.5,0.18,0,0.6,0.06,0.655,1,0.16,0.297777777777778,0.593333333333333,0.288888888888889,0.584444444444444,0.0555555555555556,0.277777777777778,0,1,0,3.73538885474873,6.59000705583184,1.4621530226481
"lowProd","fixed0.1",0.1,1,"fixedER",5,0.101,2.47883175488522,0.686409916740563,2.49765740493601,0.692591240263175,4.4984938923338,0.667133584328166,4.69422616729422,0.832035041091995,4.59339154492763,0.825461294353344,4.63497863526458,0.662312621706785,2.24135275058917,1.12273182314906,0.733833706454977,1.36270655218445,1.14482172140444,0.735276819162875,1.36003199602908,1.04493165857472,0.250611031711622,0.25351345357542,0.4,0.14,0,0.78,0.04,0.65,1,0.16,0.283333333333333,0.591111111111111,0.278888888888889,0.594444444444444,0,0.333333333333333,0,1,0,2.03376100153328,3.30467167976053,0.667322841726254
"lowProd","fixed0.1",0.1,1,"fixedER",6,0.101,2.93700452006059,0.667471208484638,3.18040523663845,0.703809638860903,5.23697519353911,0.686771639972846,5.09315660031691,0.74949578495775,5.56994080202655,0.768546517151383,5.55352283301986,0.718375233314063,2.99140344712625,1.46874174255856,0.760335581275896,1.31520873759706,1.50388501396576,0.805548894848635,1.24138957472954,1.54642309001128,0.255667082217804,0.254782259020938,0.56,0.16,0,0.68,0.02,0.68,1,0.16,0.316666666666667,0.597777777777778,0.311111111111111,0.604444444444444,0.111111111111111,0.277777777777778,0,1,0,3.52184413727764,6.56757927153591,1.85194437830164
"lowProd","fixed0.1",0.1,1,"fixedER",7,0.101,2.70036873268232,0.604670055732901,2.72360737474416,0.599308515198883,5.50487331436702,0.627758570379787,5.27953911740596,0.732605993460459,5.6406391555849,0.728269061676875,5.69249778527133,0.61881557631302,3.12337180534922,1.37325467817206,0.64669281177876,1.5463292335807,1.39752624244859,0.65797403849093,1.51981680355278,1.60906102601722,0.259714603421772,0.256608979124393,0.58,0.12,0,0.8,0.08,0.695,1,0.1,0.3,0.607777777777778,0.308888888888889,0.612222222222222,0.111111111111111,0.388888888888889,0,1,0,2.28206003098871,3.7641425400864,0.990341069619559
"lowProd","fixed0.1",0.1,1,"fixedER",8,0.101,1.92720712924274,0.736685633152647,1.9659212139827,0.712757351069142,3.45615577801863,0.81873167348511,3.33482038589784,0.822148797180892,3.50797540418241,0.791857376619783,3.58039641062527,0.801373895958268,1.51385975510069,0.978787882863464,0.929482838153464,1.07586709399243,0.991713499241968,0.916366911168752,1.09126594141705,0.639841943073429,0.248737643531826,0.265902548225611,0.3,0.06,0,0.42,0,0.485,1,0.02,0.212222222222222,0.507777777777778,0.216666666666667,0.505555555555556,0,0.222222222222222,0,1,0,1.38671441800214,2.52238926050612,0.641532598830203
"lowProd","fixed0.1",0.1,1,"fixedER",9,0.101,1.9865742661565,1.3383188377231,2.02560578475878,1.35932973675576,3.54697491722184,1.2745500104647,3.46992989214345,1.34491737439639,3.4055890680101,1.28164846970302,3.75432500628645,1.27980311404104,1.90026859118612,0.907937310529397,1.18118048092433,0.846610671400063,0.937189856272387,1.18947290432589,0.840708515816701,0.914167579071141,0.244058261119103,0.255940271205241,0.3,0.12,0,0.26,0.02,0.48,1,0.04,0.202222222222222,0.474444444444444,0.197777777777778,0.474444444444444,0.111111111111111,0.277777777777778,0,1,0,1.76482734324489,3.07828038419623,0.869196349616826
"lowProd","fixed0.1",0.1,1,"fixedER",10,0.101,2.05257207798633,0.720665104142037,2.17125109038845,0.714669620975692,3.82940469422221,0.766795911038472,3.49101210362686,0.838896757603189,3.34356372050478,0.879840844558882,3.99308340079204,0.767811789274788,2.06139425569094,1.02799756375297,0.749086495757716,1.33495932133776,0.986573090391405,0.760145697160424,1.31553727625581,1.07029847326819,0.257786457389103,0.265900303151794,0.4,0.14,0,0.44,0.06,0.5,1,0.04,0.257777777777778,0.515555555555556,0.258888888888889,0.511111111111111,0.111111111111111,0.5,0,1,0,1.22407337869228,2.29652571555909,0.728313934366858
"lowProd","fixed0.1",0.1,1,"fixedER",11,0.101,1.69803054490974,0.873958441917067,1.79072380955124,1.03002545866394,3.26283594346768,0.891684152701169,3.27861237015089,0.902189825514129,3.65152113324454,0.968373693714393,3.24824677638104,0.951792870299674,2.1659568652778,0.803642274202127,0.897194015752933,1.11458612344933,0.82262932293087,0.872910062313716,1.14559339292002,0.861941218066355,0.253096181712554,0.255974182233051,0.3,0.12,0,0.2,0,0.515,1,0.08,0.202222222222222,0.471111111111111,0.19,0.47,0,0.277777777777778,0,1,0,1.57392089673618,3.49626230210764,0.838637530935322
"lowProd","fixed0.1",0.1,1,"fixedER",12,0.101,2.33623932185343,0.694552112171871,2.46920643308948,0.711592767721588,3.95297961275826,0.706764548234552,3.82708671498277,0.764592634932326,3.12654826806095,0.828100257172039,4.07055859932309,0.718232713555021,2.02673842551108,0.917560496670387,0.764873089595838,1.30740643592051,0.90820044451107,0.806062934377825,1.24059792027513,0.84433369943033,0.240075942705394,0.291601126088751,0.34,0.1,0,0.32,0,0.54,1,0.08,0.223333333333333,0.483333333333333,0.218888888888889,0.482222222222222,0.166666666666667,0.333333333333333,0.0555555555555556,0.944444444444444,0,1.9276265946019,3.30551039664238,0.762027959280867
"lowProd","fixed0.1",0.1,1,"fixedER",13,0.101,1.86924382338908,0.939480730071212,1.95327486774772,0.910328389906672,3.24156569280485,0.940782404862883,2.8235519546961,1.51822828670563,2.78014601777081,1.05546301414705,3.42972465222518,0.93001329721551,2.20375378874916,0.853025975892099,1.00034312788221,0.999656989814146,0.835753533788292,1.00472491963703,0.995297300241403,1.06406129973322,0.255829559595604,0.261194757689669,0.24,0.1,0,0.32,0.02,0.49,1,0.06,0.228888888888889,0.466666666666667,0.22,0.466666666666667,0.111111111111111,0.444444444444444,0,1,0,1.18979141695272,1.99449258584586,0.508444167497457
