"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnYrsLowCatch","ppnYrsHighCatch","ppnYrsEscGoal","ppnYrsCUsLower","ppnYrsCUsUpper","ppnMixedOpen","ppnSingleOpen","ppnYrsAllMixOpen","ppnCUUpper","ppnCULower","ppnCUEstUpper","ppnCUEstLower","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","ppnCUConstrained","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"lowProd","fixed0.9",0.9,5,"fixedER",1,0.901,0,4.61866044560354,0,4.71048759399412,0,4.80808936964184,0,5.5082356458229,0,5.15859384692248,3.6e-05,4.60888313535075,0,0,4.84112473335464,0.206563568401811,3.6e-05,4.63821468249044,0.215600197156691,0,0,1,0.1,0.1,0,0,0,0.05,1,0,0,0.00111111111111111,0,0.00111111111111111,0,0,1,0,0,0.00930042233871534,1.42362291797245,1.34924124958361
"lowProd","fixed0.9",0.9,5,"fixedER",2,0.901,0,5.91753798891624,0,5.64732109840272,0,4.91545282450127,0,6.2347235262715,0,5.81535302338395,3.6e-05,4.89053725242108,0,0,4.85506159518247,0.205970610340406,3.6e-05,4.83534934099949,0.206810290110972,0,0,1,0.1,0.08,0,0,0,0.045,1,0,0,0,0,0,0,0,1,0,0,0.0046366762804172,1.17550801717808,1.16694844975721
"lowProd","fixed0.9",0.9,5,"fixedER",3,0.901,0,3.90948091841323,0,3.65839873108414,0,4.99766623591474,0,4.68909355645608,0,4.47060786756871,3.6e-05,5.10477000047161,0,0,5.00454544899232,0.199818347179034,3.6e-05,5.11264543713403,0.195593457887149,0,0,1,0.08,0.08,0,0,0,0.045,1,0,0,0.00111111111111111,0,0,0,0,1,0,0,0.00485039552235522,0.984387984952926,0.974456804344944
"lowProd","fixed0.9",0.9,5,"fixedER",4,0.901,0,5.42797511972655,0,4.61957919723686,5.40496368981472e-05,4.44848408381017,0,6.80450324380608,0,6.37042978947036,8.24053043515905e-05,4.58666040639143,0,4.45467917588643e-05,4.47082989526714,0.223672119813507,8.24053043515905e-05,4.60062469169953,0.217361786064446,0,0.823036123545346,1,0.12,0.1,0,0,0,0.05,1,0,0,0,0,0,0,0,1,0,0,0.00269512435408532,1.70565506316664,1.63211924525593
"lowProd","fixed0.9",0.9,5,"fixedER",5,0.901,0,3.82134183773777,0,3.98696220185899,0.000310790013760536,5.02951635007571,0,4.8968398387547,0,4.62804280895212,0.000307386339517521,4.98874571071114,0,0.000273727570588512,5.03399883911778,0.198649231348502,0.000307386339517521,4.99224813349425,0.200310556138175,0,0.78206466346944,1,0.08,0.08,0,0,0,0.045,1,0,0,0.00222222222222222,0,0.00111111111111111,0,0,1,0,0,0.00417823657220253,1.03059763217421,1.0220543989167
"lowProd","fixed0.9",0.9,5,"fixedER",6,0.901,0,5.64286790543453,0,5.78477753243129,3.07569276930339e-11,4.8976229966918,0,4.85362165189235,0,4.49675669598881,3.6e-05,5.04229156741152,0,0,4.93693520208684,0.202554815703739,3.6e-05,5.08345533249153,0.196716590309819,0,0,1,0.1,0.08,0,0,0,0.045,1,0,0,0.00222222222222222,0,0.00222222222222222,0,0,1,0,0,0.00369766311754749,1.13382908143745,1.13065246041876
"lowProd","fixed0.9",0.9,5,"fixedER",7,0.901,0,3.93838560071208,0,4.53787709288368,6.75114730006177e-11,5.0291552976535,0,3.27014076372997,0,3.06899190931539,3.6e-05,5.01375676287135,0,0,5.04001506854705,0.198412105201956,3.6e-05,5.02277251887033,0.199093229136507,0,0,1,0.08,0.08,0,0,0,0.045,1,0,0,0,0,0,0,0,1,0,0,0.00315348508113191,0.95163085228507,0.949033640895955
"lowProd","fixed0.9",0.9,5,"fixedER",8,0.901,0,3.48178418029844,0,3.90059512162288,0,5.03977432994194,0,4.87498825809806,0,4.64223329675848,3.6e-05,5.02730881790792,0,0,5.04936241384097,0.198044806064795,3.6e-05,5.03876387853905,0.198461373484709,0,0,1,0.08,0.08,0,0,0,0.045,1,0,0,0,0,0,0,0,1,0,0,0.00339086575667353,0.961738511861488,0.947092826860282
"lowProd","fixed0.9",0.9,5,"fixedER",9,0.901,0,3.83249099320462,0,3.67725744143561,0,5.05336023367067,0,3.00553749457525,0,2.79678096110367,3.6e-05,5.11973073877253,0,0,5.06011250368444,0.197624064538459,3.6e-05,5.12696132033272,0.195047307268373,0,0,1,0.08,0.08,0,0,0,0.045,1,0,0,0,0,0,0,0,1,0,0,0.00278943036255589,0.95413157346938,0.949581036912096
"lowProd","fixed0.9",0.9,5,"fixedER",10,0.901,0,4.70798225387593,0,5.01210238539934,0,5.00072522905224,0,3.92772362173064,0,3.66675116671854,3.6e-05,5.12799251293863,0,0,5.02122487574151,0.199154593699077,3.6e-05,5.1534417062214,0.194045078416773,0,0,1,0.08,0.08,0,0,0,0.045,1,0,0,0.00111111111111111,0,0,0,0,1,0,0,0.00324254452251887,0.994204934811206,0.982814572559204
"lowProd","fixed0.9",0.9,5,"fixedER",11,0.901,0,4.31913069220508,0,4.28419918591118,0,4.92909852929544,0,4.13039390639037,0,3.93827368760051,3.6e-05,4.8788845513872,0,0,4.94751583236209,0.202121637177777,3.6e-05,4.89762599111521,0.204180556419396,0,0,1,0.08,0.08,0,0,0,0.045,1,0,0,0.00222222222222222,0.00111111111111111,0.00222222222222222,0,0,1,0,0,0.0168239554787609,1.00097776339994,0.983825811156409
"lowProd","fixed0.9",0.9,5,"fixedER",12,0.901,0,5.99234099032827,0,5.98875794610498,0,4.23561581908471,0,6.79212452586921,0,6.36182257354313,3.6e-05,4.50535561623518,0,0,4.20996603348971,0.237531607629405,3.6e-05,4.4855806294908,0.222936578918105,0,0,1,0.12,0.12,0,0,0,0.055,1,0,0,0.00333333333333333,0,0.00333333333333333,0,0,1,0,0,0.00806083054539474,1.87192803291611,1.85840249530599
"lowProd","fixed0.9",0.9,5,"fixedER",13,0.901,0,4.49922870501193,0,4.44470236470215,0,5.06481063660041,0,3.57644183058698,0,3.21042970267894,3.6e-05,5.00994030490081,0,0,5.07387567657898,0.197087998158095,3.6e-05,5.01923702275309,0.199233468247629,0,0,1,0.08,0.08,0,0,0,0.045,1,0,0,0,0,0,0,0,1,0,0,0.00168101281369618,0.975317714281221,0.960722982636241
"lowProd","fixed0.9",0.9,5,"fixedER",14,0.901,0,4.19492212777685,0,4.34077835273255,0,5.03184459269229,0,4.15394042847927,0,3.89954519616857,3.6e-05,4.94507327335858,0,0,5.04708749287576,0.1981340726531,3.6e-05,4.95725580676189,0.201724510289737,0,0,1,0.08,0.08,0,0,0,0.045,1,0,0.00111111111111111,0.00222222222222222,0.00111111111111111,0.00222222222222222,0,0,1,0,0,0.00220607112243782,0.978566565147115,0.937770359871767
"lowProd","fixed0.9",0.9,5,"fixedER",15,0.901,0,4.96872533864716,0,5.03726305170374,2.64832694664439e-05,5.01164979232299,0,3.5418264152399,0,3.22217652476591,5.83412004464933e-05,5.10788894074925,0,2.22041040763646e-05,5.02909864608942,0.198842788812184,5.83412004464933e-05,5.12713035157008,0.195040876948598,0,0.837224064132207,1,0.08,0.08,0,0,0,0.045,1,0,0,0,0,0,0,0,1,0,0,0.00232174667631416,0.956914791259456,0.955163454488983
"lowProd","fixed0.9",0.9,5,"fixedER",16,0.901,0,4.80799503222741,0,4.86023488264204,0,4.86446054670626,0,3.74762081296715,0,3.55100844362465,3.6e-05,4.90043842501754,0,0,4.93586926309394,0.202598558976656,3.6e-05,4.97845752236761,0.200865427797088,0,0,1,0.08,0.08,0,0,0,0.045,1,0,0,0.00111111111111111,0,0.00111111111111111,0,0,1,0,0,0.00794656993086536,1.12150356653299,0.974798483368372
"lowProd","fixed0.9",0.9,5,"fixedER",17,0.901,0,3.6832316686887,0,3.80641898124712,0,5.01450766818064,0,3.80538077028979,0,3.7119399512712,3.6e-05,5.16605995460709,0,0,5.02786175241791,0.19889170570752,3.6e-05,5.17860075115153,0.193102354874072,0,0,1,0.08,0.08,0,0,0,0.045,1,0,0.00111111111111111,0.00111111111111111,0,0.00111111111111111,0,0,1,0,0,0.0059300204143057,1.00867655657049,0.979679991863793
"lowProd","fixed0.9",0.9,5,"fixedER",18,0.901,0,4.61023760957973,0,4.53232022821875,0,4.89339803114386,0,5.6125788131801,0,5.34985853711686,3.6e-05,4.81465879625708,0,0,4.90582404002026,0.203839353356805,3.6e-05,4.82475550034299,0.207264388823208,0,0,1,0.1,0.08,0,0,0,0.045,1,0,0,0.00111111111111111,0,0.00111111111111111,0,0,1,0,0,0.00173712496334968,1.2642458199732,1.22097049362227
"lowProd","fixed0.9",0.9,5,"fixedER",19,0.901,0,3.83706818087165,0,3.89283656618511,0,4.94915201082417,0,3.79304360099206,0,3.53577143289271,3.6e-05,5.05079761090334,0,0,4.96203878478303,0.201530065235821,3.6e-05,5.06359126877867,0.197488293766096,0,0,1,0.08,0.08,0,0,0,0.045,1,0,0,0.00222222222222222,0,0.00222222222222222,0,0,1,0,0,0.0103071178389799,1.06414473861306,1.04742023697812
"lowProd","fixed0.9",0.9,5,"fixedER",20,0.901,0,5.95338755236169,0,6.01161744217671,0,4.19288222690324,0,6.50282191158349,0,6.12436156015396,3.6e-05,4.07026945165698,0,0,4.1448588978268,0.241262736476823,3.6e-05,4.01446859918171,0.249098971705455,0,0,1,0.1,0.1,0,0,0,0.05,1,0,0,0.00111111111111111,0,0.00222222222222222,0,0,1,0,0,0.0174968318873514,1.70291066109131,1.66396294837289
"lowProd","fixed0.9",0.9,5,"fixedER",21,0.901,0,3.6855314546083,0,3.75254984085259,0,4.78912096249837,0,4.67275812939963,0,4.4550251333465,3.6e-05,4.72829125155401,0,0,4.80500728609461,0.20811622968688,3.6e-05,4.7429749033518,0.210838138589625,0,0,1,0.1,0.08,0,0,0,0.05,1,0,0,0,0,0,0,0,1,0,0,0.00503937988384783,1.20902012701129,1.16757425686317
"lowProd","fixed0.9",0.9,5,"fixedER",22,0.901,0,4.3307058495608,0,4.2740068685496,0,4.97902401819093,0,4.41419398143716,0,4.37411173211831,3.6e-05,4.78464109170385,0,0,4.98508633085613,0.200598331429149,3.6e-05,4.78927936949837,0.208799680045547,0,0,1,0.08,0.08,0,0,0,0.045,1,0,0,0.00111111111111111,0,0,0,0,1,0,0,0.00564897111932947,0.997755945664962,0.972653775374704
"lowProd","fixed0.9",0.9,5,"fixedER",23,0.901,0,3.50351198034427,0,3.55012766234273,0,5.03997397031643,0,3.02802423561959,0,2.73049394914189,3.6e-05,5.05630427984568,0,0,5.04857548753682,0.198075675498693,3.6e-05,5.06483785348065,0.197439686901878,0,0,1,0.08,0.08,0,0,0,0.045,1,0,0,0,0,0,0,0,1,0,0,0.00350183455549968,0.952364351656595,0.943922587744344
