"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnYrsLowCatch","ppnYrsHighCatch","ppnYrsEscGoal","ppnYrsCUsLower","ppnYrsCUsUpper","ppnMixedOpen","ppnSingleOpen","ppnYrsAllMixOpen","ppnCUUpper","ppnCULower","ppnCUEstUpper","ppnCUEstLower","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","ppnCUConstrained","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"lowProd","fixed0.7",0.7,4,"fixedER",1,0.701,0.00212113210407432,3.48247377185241,0.00214844504110909,3.3182968039518,0.0175879505405932,3.41870845626963,0.0075753334354381,3.05784022621811,0.00739468450178321,2.85187430009936,0.01829752767793,3.20840271485101,0.000349701304110921,0.0144218597152272,3.43897003025862,0.290784738221402,0.0153822999921889,3.21382083803584,0.311156113049277,0.0014443074679693,0.829852091785017,0.973681336988222,0.2,0.14,0,0,0,0.06,1,0,0.00555555555555555,0.0211111111111111,0.00333333333333333,0.0211111111111111,0,0,0.888888888888889,0.111111111111111,0,0.184960232355589,2.109792985175,1.96448503902547
"lowProd","fixed0.7",0.7,4,"fixedER",2,0.701,0.00679373525270829,2.90755753158546,0.00648648979225911,2.82149403885559,0.0437935895838183,3.38671728669725,0.0275900429680552,2.8679018820999,0.030695177114513,2.68283020340566,0.0477575123722145,3.35600765671496,0.000491798691418309,0.0369471054306845,3.35447821457932,0.298108956455217,0.0407572703763145,3.33691991835802,0.299677554291463,0.00192785940911229,0.843646635995373,0.950324328634798,0.2,0.12,0,0,0,0.06,1,0,0.00111111111111111,0.0188888888888889,0.00111111111111111,0.0222222222222222,0,0,0.888888888888889,0.111111111111111,0,0.198971196090817,1.72589963330077,1.49162991562266
"lowProd","fixed0.7",0.7,4,"fixedER",3,0.701,0.00755277498209265,3.40047459521787,0.00781818400912028,3.48276718312196,0.0533775646752126,3.60797092897707,0.0272559092688065,3.04335476171576,0.0343728400187517,2.78514088533539,0.05333743007326,3.72709306688258,0.00126287521073364,0.0426934913868222,3.62301718718418,0.276013043365439,0.0419803133137179,3.75135589687381,0.266570282183396,0.00532046731655005,0.826128955133262,0.938064145523695,0.16,0.1,0,0,0,0.05,1,0,0.00222222222222222,0.0233333333333333,0.00333333333333333,0.0222222222222222,0,0,0.888888888888889,0.111111111111111,0,0.193149236943333,1.73543936203668,1.50166104650741
"lowProd","fixed0.7",0.7,4,"fixedER",4,0.701,0.0195818270988514,1.8158090648992,0.019313378913902,1.79349872124243,0.150014074944716,2.16265242175483,0.0889756032792399,1.86904474010691,0.115933873566092,1.73010674316309,0.15406238801739,2.21521316659718,0.00176110788798828,0.124577298738917,2.20548201994741,0.453415621145643,0.131954572670416,2.27188058220155,0.440163980375656,0.0120863693139985,0.836950257463588,0.918719370249101,0.38,0.3,0,0,0,0.125,1,0,0.00333333333333333,0.0288888888888889,0.00444444444444444,0.0277777777777778,0,0,0.777777777777778,0.222222222222222,0,0.428207788574954,3.07577475134266,2.49928428792039
"lowProd","fixed0.7",0.7,4,"fixedER",5,0.701,0.0208087829735882,1.81435055812038,0.0206488878645033,1.75000957461811,0.306323998403161,2.33701626225208,0.113982205761197,1.81571137190157,0.190105366279514,1.6481992497779,0.328519795960745,2.37024999326756,0.00107610835398916,0.264633318571009,2.43702616931874,0.410336176356918,0.293975282739167,2.49591164123653,0.400655208893765,0.0091822034161904,0.853010252172103,0.912093974942563,0.38,0.24,0,0,0,0.08,1,0,0.00333333333333333,0.0333333333333333,0.00333333333333333,0.0344444444444444,0,0,0.777777777777778,0.222222222222222,0,0.258905352525911,1.9344396813032,1.65497272519173
"lowProd","fixed0.7",0.7,4,"fixedER",6,0.701,0.0180823355737808,1.81592767597566,0.0163560495135791,1.81850655111722,0.164572998299145,2.32670194063075,0.0827652378832247,2.08315578085344,0.0941737815492007,2.0463125615516,0.157598081008803,2.45078740081069,0.00157301774550939,0.135640498060808,2.4032483800222,0.416103474078182,0.135979058711697,2.55001721821649,0.392154214825033,0.0106742468138428,0.835963078741279,0.940346014396531,0.32,0.28,0,0,0,0.125,1,0,0.00444444444444444,0.0244444444444444,0.00333333333333333,0.0244444444444444,0,0,0.833333333333333,0.166666666666667,0,0.393124792047072,2.984772106221,2.57733970367725
"lowProd","fixed0.7",0.7,4,"fixedER",7,0.701,0.00794255176292711,2.30097420086437,0.00855034409376638,2.31766132296496,0.0741170426412616,2.92388068498184,0.0348946121802125,2.27333640685385,0.0523184855287116,2.10415855721169,0.0744877598598522,2.87156112638247,0.000195082108234813,0.0636870812333989,2.89507144873999,0.345414618501117,0.0641807925330801,2.8357831115399,0.352636277411559,0.00180216644075087,0.836982611181759,0.924939988742748,0.28,0.16,0,0,0,0.07,1,0,0,0.0211111111111111,0.00111111111111111,0.0244444444444444,0,0,0.833333333333333,0.166666666666667,0,0.273935795551093,1.71349138401416,1.45224692103915
"lowProd","fixed0.7",0.7,4,"fixedER",8,0.701,0.0281198414128366,1.96692356519416,0.0252507865689207,1.81387346359695,0.23178208566381,2.72693170126038,0.107910269027488,3.07822257112678,0.135929512724095,2.86092161247137,0.237007938112333,2.73119442765351,0.00192634747615979,0.203778457909528,2.75281435182447,0.36326459840535,0.221124473898656,2.76551929704174,0.361595741193958,0.0220346113125292,0.860946678764019,0.950820793408604,0.28,0.14,0,0,0,0.075,1,0,0.00333333333333333,0.0166666666666667,0.00222222222222222,0.0177777777777778,0,0,0.944444444444444,0.0555555555555556,0,0.192907356233396,1.70827233394646,1.47180571104664
"lowProd","fixed0.7",0.7,4,"fixedER",9,0.701,0.00387255391731804,2.92849242909753,0.00384649709999046,2.81249412018574,0.0257524860268177,3.71195324017084,0.0150552043712251,2.43708799651067,0.0188939046886819,2.35629115404614,0.0265062764039629,3.73665784681989,0.00014996271295987,0.0208417549184255,3.82752510793758,0.261265431786766,0.0207603320874885,3.88611960686401,0.257326099339226,0.000651024414952073,0.833292939772642,0.954470207101821,0.18,0.1,0,0,0,0.055,1,0,0.00333333333333333,0.0188888888888889,0.00333333333333333,0.0166666666666667,0,0,0.944444444444444,0.0555555555555556,0,0.214485949380961,1.7104349501298,1.43717975470319
"lowProd","fixed0.7",0.7,4,"fixedER",10,0.701,0.00327637624037953,3.79489832135394,0.00327360881111469,3.91315256440014,0.0215279779133536,3.3685970105211,0.0118588755371892,2.50373145698196,0.0151276875650276,2.30398877973096,0.0216907690240085,3.53336542336887,0,0.017900865690155,3.27373677144443,0.305461333581436,0.0179976967278268,3.44735439353654,0.290077516217916,0.000515129587343761,0.845008127913219,0.950004348096065,0.2,0.16,0,0,0,0.055,1,0,0.00111111111111111,0.0155555555555556,0.00333333333333333,0.0188888888888889,0,0,0.944444444444444,0.0555555555555556,0,0.160722097976367,1.70873030966523,1.51436951135064
