"stk","alpha","beta","sigma","gamma"
1,3.37899236294657,0.000191507307828732,0.596896080759715,0.517116072532249
2,3.79910394090417,0.000393073150792393,0.610136774924957,0.517116072532249
3,3.30432410618484,0.000131345002976683,0.513017667856851,0.517116072532249
4,3.02855959549397,4.55344833532083e-05,0.611132414156077,0.517116072532249
5,3.1865301400908,0.000105533015675669,0.739768546289074,0.517116072532249
1,3.62107262470728,0.000209287180750945,0.531234187371193,0.557347106766128
2,3.79633541419809,0.000358624074967149,0.654377673247242,0.557347106766128
3,3.6741816215777,0.000105377964895152,0.962243126104607,0.557347106766128
4,3.16036635618014,3.80146239829784e-05,0.566282403219647,0.557347106766128
5,4.20061629709056,0.000159107345082507,0.764700216067767,0.557347106766128
1,2.38956900834871,0.000171514722316273,0.397373124185365,0.332853784500896
2,3.00030748915715,0.000395949041572462,0.696382061083698,0.332853784500896
3,2.58924245693079,0.000108670596413827,0.856725169802538,0.332853784500896
4,2.28520148102712,5.5139726803174e-05,0.497558067355377,0.332853784500896
5,2.96303443174775,0.000147021355536064,0.766148130384518,0.332853784500896
1,2.41183240660342,0.000154858706525229,0.433778908056868,0.307124450445037
2,3.22776241335756,0.000503163068111913,0.605935187139191,0.307124450445037
3,2.31461205513988,0.00010651279763025,0.800822495044098,0.307124450445037
4,2.20555188998845,5.17676245414861e-05,0.535284332655647,0.307124450445037
5,2.71885702588745,0.00014104727244377,0.763161107438185,0.307124450445037
1,2.34557306742197,0.000146916548669145,0.42545022295844,0.295893872144396
2,2.75339091458346,0.000374133170281905,0.781319348799158,0.295893872144396
3,2.13224799308182,0.000106972173801258,0.700959492952132,0.295893872144396
4,1.91628286387513,4.71722459910623e-05,0.404637964609277,0.295893872144396
5,2.76348218732966,0.000166193750406615,0.898202867668806,0.295893872144396
1,2.57149430528139,0.000161834900831777,0.665486380376468,0.268111117944293
2,2.28649436892757,0.000306887379523459,0.516197722360489,0.268111117944293
3,2.00369145846465,0.000114250437544836,0.628746948897121,0.268111117944293
4,2.09559281871612,4.41256146439585e-05,0.679456242998023,0.268111117944293
5,2.90179171940906,0.000136881576729655,0.741343174107746,0.268111117944293
1,2.37843789547975,0.000159612342406448,0.648303620347585,0.314862929805139
2,3.19187348397769,0.000459525630142306,0.593077030629266,0.314862929805139
3,2.36485585695003,0.000103952044978066,0.626354052458922,0.314862929805139
4,2.070157705813,3.9674661577957e-05,0.702268905830466,0.314862929805139
5,2.86081841138129,0.000148048384616904,0.497897644339823,0.314862929805139
1,2.27286463720758,0.000168465625428695,0.561597750217522,0.275515084482826
2,2.475257719183,0.000310458560520443,0.541327751036459,0.275515084482826
3,2.14468089424363,0.000111770146628401,0.802607291765436,0.275515084482826
4,2.02277878828683,3.79362282599083e-05,0.536693405166968,0.275515084482826
5,2.87706366229787,0.000163326303700089,0.636350813295853,0.275515084482826
1,2.32576933897248,0.000171131491012809,0.551207048773155,0.270672138602407
2,2.35267086379806,0.000337434602092039,0.577177397179511,0.270672138602407
3,2.14031187958885,0.00010951349790245,0.837431371030831,0.270672138602407
4,1.99000697721476,3.74847469007378e-05,0.564461607124835,0.270672138602407
5,2.68878596680924,0.000168323566193686,0.64045442475411,0.270672138602407
1,2.34601138561173,0.00016273583691647,0.613304497541686,0.283414337786676
2,2.65428610218665,0.000346819170075965,0.621914496852326,0.283414337786676
3,2.36715712468575,0.000111275091341912,0.850260637567063,0.283414337786676
4,2.04312183883033,3.82415336119734e-05,0.536306017961614,0.283414337786676
5,2.7528991315919,0.000165395027041274,0.715756341428761,0.283414337786676
1,2.38425801848971,0.000171151160316147,0.639505950352626,0.264823967123997
2,2.61285593903321,0.00039926755907426,0.559283937937316,0.264823967123997
3,2.42427195242113,0.000115186161236367,0.647279597235261,0.264823967123997
4,2.21957825650734,4.54262586653226e-05,0.555119032641073,0.264823967123997
5,2.90313948954584,0.000124020199541315,0.793823852511208,0.264823967123997
1,2.09120792725276,0.000179928855199559,0.549450069313637,0.230282860385127
2,2.5292968835637,0.000401571680296112,0.508129424795945,0.230282860385127
3,2.17874082839629,0.000111359074144204,0.55814405537281,0.230282860385127
4,1.76829229390601,4.2791939694034e-05,0.534323519776106,0.230282860385127
5,2.26350760502406,0.000148946829167023,0.658176578864152,0.230282860385127
1,2.19900871528988,0.000126694771374145,0.62431890550305,0.212370144161915
2,2.60588761513909,0.000481328204344292,0.723680244358759,0.212370144161915
3,1.62766150498454,8.59882484980452e-05,0.712684505915704,0.212370144161915
4,1.52870926631061,4.57242978166138e-05,0.501944308103379,0.212370144161915
5,2.6327326808982,0.000160263568964763,0.727464289093397,0.212370144161915
1,2.27878958246722,0.000161751097985587,0.589158819645705,0.231077336837701
2,2.2072468531013,0.00025196801101008,0.575237231106823,0.231077336837701
3,1.93749203943572,0.000121606504116406,0.511481739231758,0.231077336837701
4,2.04994533153459,3.6330500033787e-05,0.701646863649306,0.231077336837701
5,2.71163309638282,0.000161430948347722,0.546999864663205,0.231077336837701
1,2.2782592904115,0.000187701303724384,0.652272618449222,0.275206444883643
2,3.03234164205492,0.000430520507430222,0.775172637059564,0.275206444883643
3,2.04107208125451,0.000104480825687716,0.531352366589618,0.275206444883643
4,1.84163098852807,4.54637251319466e-05,0.526784623046237,0.275206444883643
5,2.65404660162521,0.000152129084816798,0.702415877767065,0.275206444883643
1,2.13431543442943,0.000198161985368125,0.589340331960519,0.238209410443627
2,2.67016520834325,0.000396375159849232,0.95044903863793,0.238209410443627
3,2.00696885253032,0.000107847955826318,0.493906076166741,0.238209410443627
4,1.9306847547952,4.28794966136809e-05,0.602920676600525,0.238209410443627
5,2.5832237602876,0.000159899232747335,0.672748799056888,0.238209410443627
1,2.22075681917451,0.000190549108911666,0.574395749754439,0.251178952840647
2,2.74462559152909,0.000389701852514342,0.969171290375914,0.251178952840647
3,2.12682614258799,0.000112506861509987,0.540452153632031,0.251178952840647
4,1.99134210939394,4.40173825700798e-05,0.635030932575748,0.251178952840647
5,2.72281760245595,0.000126278903971941,0.659775621537372,0.251178952840647
1,2.17834417475506,0.00018041954021636,0.534135748265239,0.204463001488221
2,2.65126513692051,0.000368605225422538,0.963235813611917,0.204463001488221
3,1.98981963368669,0.000115527204375865,0.569823383975313,0.204463001488221
4,1.75233687628542,4.47731079955765e-05,0.619252834692194,0.204463001488221
5,2.56352395067045,0.000167607471372893,0.635533341663844,0.204463001488221
1,2.26602153211425,0.000171153734187035,0.529575298272512,0.195124660454706
2,2.42998914525403,0.000403371133829349,1.07072782383057,0.195124660454706
3,1.932739315481,0.000109395308334668,0.705950511119301,0.195124660454706
4,1.65486277591356,4.42791236911271e-05,0.672006498371895,0.195124660454706
5,2.18635926041877,0.000127689622181451,0.527319845763516,0.195124660454706
1,2.18949272921241,0.000184518435348664,0.535817027548209,0.191514497714982
2,2.39026172236406,0.00039100514518911,1.04626795435496,0.191514497714982
3,1.8200668726174,0.000112423480368029,0.710362000100464,0.191514497714982
4,1.64461131277649,4.40003143982404e-05,0.629643637019916,0.191514497714982
5,1.84522137037392,0.000126881193232958,0.585417057080915,0.191514497714982
1,1.45976917123973,0.000152475151177958,0.484992384685534,0.0903151925996564
2,1.92917854304641,0.000244564303732613,1.31529109345727,0.0903151925996564
3,1.41585704176594,0.000135578374644039,0.51573559736402,0.0903151925996564
4,1.1256374446821,4.54171651091117e-05,0.55417743495425,0.0903151925996564
5,1.52363328254027,0.000136574503209754,0.587197923038028,0.0903151925996564
1,2.48350915326306,0.000156646622862887,0.613651893728202,0.2642039541651
2,2.38137899242174,0.000361838211558388,0.622487906226265,0.2642039541651
3,2.21719798993994,0.000119419191529936,0.787699831300578,0.2642039541651
4,1.8447154184436,4.69556279702484e-05,0.56521388980881,0.2642039541651
5,2.73022560725389,0.000146570683608743,0.772016735617778,0.2642039541651
1,2.57949657056486,0.00014184366509008,0.516416159483186,0.354317302857671
2,3.1018182663576,0.000406087992133159,0.763116850904905,0.354317302857671
3,2.65800454845975,0.000103359349419096,0.718110971049136,0.354317302857671
4,2.25128357760216,4.72694809729252e-05,0.46059430582913,0.354317302857671
