scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,propMixHigh,enRouteMort,constrain,singleHCR,moveTAC,prodRegime,startYear,endYear,rho,arSigTransform,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,adjustEnRouteSig,preFMigMort
fixedRef,ref,fixed0.1,expRate,1,sockeye,50,fixedER,stockRecruit,0.1,NA,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
fixedRef,ref,fixed0.2,expRate,2,sockeye,50,fixedER,stockRecruit,0.2,NA,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
fixedRef,ref,fixed0.3,expRate,3,sockeye,50,fixedER,stockRecruit,0.3,NA,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
fixedRef,ref,fixed0.4,expRate,4,sockeye,50,fixedER,stockRecruit,0.4,NA,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
fixedRef,ref,fixed0.5,expRate,5,sockeye,50,fixedER,stockRecruit,0.5,NA,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
fixedRef,ref,fixed0.6,expRate,6,sockeye,50,fixedER,stockRecruit,0.6,NA,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
fixedRef,ref,fixed0.7,expRate,7,sockeye,50,fixedER,stockRecruit,0.7,NA,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
fixedRef,ref,fixed0.8,expRate,8,sockeye,50,fixedER,stockRecruit,0.8,NA,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
fixedRef,ref,fixed0.9,expRate,9,sockeye,50,fixedER,stockRecruit,0.9,NA,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
tam,ref,TAM,expRate,1,sockeye,50,TAM,stockRecruit,NA,NA,1,TRUE,TRUE,FALSE,FALSE,med,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.07,0.07,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
