scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,propMixHigh,varyAllocation,prodRegime,startYear,endYear,freqSkew,rho,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsSBias,propSampleCU,sampleProb,ageErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,adjustEnRoute
tamComp,ref,fixed0.0,expRate,1,sockeye,40,fixedER,stockRecruit,0,1,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
tamComp,ref,fixed0.2,expRate,2,sockeye,40,fixedER,stockRecruit,0.2,1,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
tamComp,ref,fixed0.4,expRate,3,sockeye,40,fixedER,stockRecruit,0.4,1,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
tamComp,ref,fixed0.6,expRate,4,sockeye,40,fixedER,stockRecruit,0.6,1,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
tamComp,ref,fixed0.8,expRate,5,sockeye,40,fixedER,stockRecruit,0.8,1,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
tamComp,ref,flexTAM,expRate,6,sockeye,40,TAM,stockRecruit,NA,1,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
tamComp,lowProd,fixed0.0,expRate,1,sockeye,40,fixedER,stockRecruit,0,1,FALSE,low,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
tamComp,lowProd,fixed0.2,expRate,2,sockeye,40,fixedER,stockRecruit,0.2,1,FALSE,low,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
tamComp,lowProd,fixed0.4,expRate,3,sockeye,40,fixedER,stockRecruit,0.4,1,FALSE,low,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
tamComp,lowProd,fixed0.6,expRate,4,sockeye,40,fixedER,stockRecruit,0.6,1,FALSE,low,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
tamComp,lowProd,fixed0.8,expRate,5,sockeye,40,fixedER,stockRecruit,0.8,1,FALSE,low,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
tamComp,lowProd,flexTAM,expRate,6,sockeye,40,TAM,stockRecruit,NA,1,FALSE,low,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1
