"stk","CU","muAlpha","alpha","beta0","sigmaAlpha","sigma"
1,"PrtI",1.51852812100321,1.28640473082919,2.71240612999784e-05,0.255491384619714,0.308500366799778
1,"PrtI",1.20628175850838,1.12439401338044,2.41157505375699e-05,0.394233180191892,0.328180534742008
1,"PrtI",1.05894764326834,1.1229319464258,2.16145223599753e-05,0.375685413941471,0.344926020869902
1,"PrtI",1.32889451934773,1.33353764843169,3.20495427107562e-05,0.279207521624155,0.423880463906073
1,"PrtI",1.42174319974836,1.27707579101835,2.96352611332301e-05,0.285756997086283,0.438210683803248
1,"PrtI",1.03383477058043,1.66943879880669,4.17558595542324e-05,0.392936674857975,0.432537646506702
1,"PrtI",0.69192776036632,1.18526937899335,2.64891584160316e-05,0.64945968332423,0.265168962354885
1,"PrtI",1.66853702037834,1.6160336194605,4.02958809960076e-05,0.677170204650282,0.399545162059538
1,"PrtI",0.682166328092438,1.37686611225221,2.73558848961607e-05,0.8166487797375,0.343480473780454
1,"PrtI",0.801199544568828,0.941472832503651,1.49744980088459e-05,0.168693742586252,0.370783031865815
1,"PrtI",1.29505886074259,1.0390313890012,2.22594341633355e-05,1.27352080112783,0.272665689597078
1,"PrtI",1.40588638913285,1.49315011741292,3.12494418009506e-05,0.272826842312468,0.44942047617859
1,"PrtI",1.51120336526932,1.02370018446037,2.23821303714119e-05,0.381304439793082,0.366077272365166
1,"PrtI",1.19760311233311,1.04112206471054,1.94037188324021e-05,0.171632829035553,0.275322306282941
1,"PrtI",1.37201026395085,1.17604696922428,2.74227634813443e-05,0.199742850707263,0.289912621920962
1,"PrtI",0.99352844690863,1.11181398318166,2.26481450881426e-05,0.25887024111546,0.31535242129831
1,"PrtI",1.06220771899302,1.19198785744124,2.68182073177549e-05,0.452030877297671,0.28039566363698
1,"PrtI",0.69846876113106,1.34332653590768,3.02410968091475e-05,0.175748390113974,0.466719717781128
1,"PrtI",0.297151922976547,1.04263716550514,2.54970416158475e-05,0.412898627474414,0.409013532743422
1,"PrtI",1.11942879012184,1.21771872181084,2.63996538562329e-05,0.20798185938445,0.317366546549064
1,"PrtI",1.15600132807523,1.12933824291531,2.38693667305417e-05,0.28865180095622,0.346808780447227
1,"PrtI",1.53273026333628,1.17288375020805,2.5219543113106e-05,0.157463441271848,0.281855630148891
1,"PrtI",1.42150403545499,0.99993544336103,1.77809023808829e-05,0.356062139748124,0.457699455744785
1,"PrtI",1.41099585760706,1.47254416376725,3.33688693744477e-05,0.187549521482714,0.313534131514734
1,"PrtI",1.45684144928326,1.37420127321629,3.37929539709098e-05,0.527249218320442,0.356127062293497
1,"PrtI",1.45827676611426,1.32778890202382,3.34152745019652e-05,0.32958829112652,0.264757243432038
1,"PrtI",1.01362441744844,1.24962593768489,2.71906512326792e-05,0.843798176215336,0.333400342966519
1,"PrtI",0.879572499422671,1.08488877373194,2.84155575340492e-05,0.340496552598783,0.325195630725253
1,"PrtI",1.28179063057104,1.47044810117229,3.11733920400972e-05,0.274316196370495,0.419535449392753
1,"PrtI",1.0859232101451,1.30108011378212,2.50251484297053e-05,0.136789636501414,0.352171248628705
1,"PrtI",0.735403692973867,1.36817881832106,2.87727774283069e-05,0.234886173882957,0.36646583045262
1,"PrtI",1.43082206728278,1.24648485965008,2.40088635611808e-05,0.205207194275227,0.462716907104863
1,"PrtI",0.962647709632451,1.42214411915483,3.47559170225185e-05,0.238660576606752,0.263472312543149
1,"PrtI",1.65254788577343,1.1294931322606,2.32963220501926e-05,0.287506101479623,0.299901763190231
1,"PrtI",1.57603729810736,1.37683069381263,2.64173826374087e-05,0.447570723494943,0.323182353504799
1,"PrtI",1.04780429699624,1.26704100572359,2.63903110199404e-05,0.17359681319738,0.411395431298325
1,"PrtI",1.14210384435348,1.3961664407204,3.04236956726516e-05,0.161015791166128,0.300510370973839
1,"PrtI",1.6031514917132,1.10046880059094,2.68815170047177e-05,0.4347349257447,0.260821124094875
1,"PrtI",1.60903823025376,0.930774031813705,1.80971984717243e-05,0.294207097206569,0.37243203156144
1,"PrtI",1.60089127894703,1.33779620836595,2.70938000087614e-05,0.16804525540847,0.427930873565299
1,"PrtI",1.25421023124838,1.36184242960924,3.08207124310556e-05,1.3005337669216,0.282854148270036
1,"PrtI",0.491813847127679,1.17712150697824,3.07570206936185e-05,1.18750448530312,0.365978199077467
1,"PrtI",1.06587594733482,1.11661989255092,2.49512834901527e-05,0.278774360838233,0.328758421546795
1,"PrtI",1.49308368430906,1.31760078896005,2.57937384385146e-05,0.203684791050143,0.273675849279127
1,"PrtI",1.38426019555978,1.42094834112008,3.21993121823918e-05,0.463953133410786,0.490899808107388
1,"PrtI",1.4735015007367,1.35225633036939,3.95894423434226e-05,0.453249735534929,0.404390803278003
1,"PrtI",1.17369576344286,1.09155534817695,2.37918564326192e-05,0.542648811406052,0.392339598583412
1,"PrtI",1.11055917367837,1.09187269029752,2.26438339759418e-05,0.80323897701969,0.337961197078684
1,"PrtI",1.63793591414851,1.61519395684743,3.70929027506256e-05,0.182022080855095,0.37065234836592
1,"PrtI",0.729744873808734,1.36200024645046,3.36836654262213e-05,0.32556473152299,0.313927791828639
1,"PrtI",1.63872808638413,1.34834423208829,2.32475724343435e-05,0.329167145121168,0.304426457506455
1,"PrtI",0.865961216237623,1.38931174249107,2.84734540965438e-05,0.514577604182079,0.284787435477457
1,"PrtI",1.0364219928478,1.3154465716865,2.96017565185136e-05,0.280346637865911,0.471081657929369
1,"PrtI",1.57508190249854,1.36895872687829,2.94953509381649e-05,1.08152338569906,0.309987149818023
1,"PrtI",1.79065730149164,1.25752486977583,2.43724574375811e-05,0.415740441778055,0.345566525110817
1,"PrtI",1.63396042742995,1.26416893263701,2.4009848781681e-05,0.333889284137755,0.403449681625039
1,"PrtI",1.41301142557896,1.1656111529867,2.77606953512e-05,0.373634927970898,0.37226006970951
1,"PrtI",1.25542969058499,1.30417777664313,2.74999720630235e-05,0.261260618227989,0.382564762191311
1,"PrtI",1.11672973468789,1.45473381319685,3.36823032875222e-05,0.0987454761908605,0.473753336673263
1,"PrtI",1.47707144109598,1.21357524201585,2.79798054106956e-05,0.292961048294227,0.354894661940683
1,"PrtI",1.25604501344575,1.39103114678765,3.30796447012752e-05,0.100181693189615,0.340175469159316
1,"PrtI",0.673692045504547,1.37575230523155,2.86345581851306e-05,0.661861123561439,0.444975396919396
1,"PrtI",1.30058371097092,1.17869884780174,2.31931232859879e-05,0.209850861073513,0.424345216570476
1,"PrtI",0.881284824296678,1.22489573204302,2.92171193435516e-05,1.20288245412454,0.352994946505518
1,"PrtI",0.955106907029411,1.43515725666173,3.39923887816063e-05,0.0996738588083522,0.293705276565503
1,"PrtI",1.01997770065226,1.26211964942094,2.75057787864383e-05,0.174886098882092,0.311694559266379
1,"PrtI",1.2024070197872,1.27136692999688,2.79004907250716e-05,0.520150822609093,0.248358970331069
1,"PrtI",0.990270714190688,0.882254868343007,1.8504982617557e-05,0.321602629612242,0.247843895528768
1,"PrtI",1.06561837383098,1.26647825263666,3.01315311286295e-05,0.150173313012719,0.305191299792199
1,"PrtI",0.967125314302154,1.63582249567493,3.81045265371011e-05,0.16905069271115,0.308863078953632
1,"PrtI",1.06870941482383,0.946419598899151,2.28217372342884e-05,0.219908332224267,0.255567798780366
1,"PrtI",0.842652235824506,0.992636859083685,2.13680264524044e-05,0.197576195642121,0.293553479215702
1,"PrtI",1.09965285673089,1.29900909288046,2.69567892287006e-05,0.135227463257713,0.263716999906091
1,"PrtI",1.37046360651434,1.24504715107269,3.01033768942381e-05,0.234444266002504,0.27673576113269
1,"PrtI",1.40672701586955,1.28242394655024,2.8780710159387e-05,0.28785721972048,0.356395003679209
1,"PrtI",1.09754484292627,1.22847971074915,2.72605715029163e-05,0.682129076553379,0.314995684268118
1,"PrtI",1.12145534395449,1.49803455599183,3.42440071463725e-05,0.212921325338504,0.361225691621713
