species,area,year,expEscapement,totalCatch,ppnUnmarked,alaskaER,NEWcatch
Chum,3,2000,45614,77255,0.047234742,0.282,88789.00
Chum,3,2001,63336,29638,0.170958904,0.347,60830.00
Chum,3,2002,40575,43922,0.147807477,0.092,53689.00
Chum,3,2003,91331,51451,0.230763834,0.131,65034.00
Chum,3,2004,115337,89161,0.129358127,0.304,97407.00
Chum,3,2005,65965,73651,0.044782148,0.22,91640.00
Chum,3,2006,96316,98477,0.146708368,0.179,113807.00
Chum,3,2007,39150,24516,0.063876652,0.422,35252.00
Chum,3,2008,33225,14714,0.158063749,0.12,17265.00
Chum,3,2009,44879,47197,0.076070937,0.231,54609.00
Chum,3,2010,22613,15388,0.117561736,0.231,23014.00
Chum,3,2011,22266,7871,0.155761657,0.23,15793.00
Chum,3,2012,39864,44093,0.098604139,0.23,44247.00
Chum,3,2013,33184,58988,0.219525849,0.23,59563.00
Chum,3,2014,44889,36772,0.197891284,0.23,36681.00
Chum,3,2015,143531,181886,0.158093158,0.23,186232.00
Chum,3,2016,36050,78705,0.305702381,0.23,76446.00
Chum,3,2017,47076,62250,0.075,0.23,61975.00
