scenario,nameOM,nameMP,species,simYears,harvContRule,escGoal,canER,propMixHigh,propMixLow,varyAllocation,prodRegime,startYear,endYear,rho,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsSBias,propSampleCU,sampleProb,ageErr,extinctThresh
test,testRef,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.3,0.1,custom,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,medProd,0,chum,55,fixedER,FALSE,0,0.8,0.2,FALSE,med,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,medProd,0.2,chum,55,fixedER,FALSE,0.2,0.8,0.2,FALSE,med,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,medProd,0.4,chum,55,fixedER,FALSE,0.4,0.8,0.2,FALSE,med,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,medProd,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,med,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,medProd,0.8,chum,55,fixedER,FALSE,0.8,0.8,0.2,FALSE,med,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,lowProd,0,chum,55,fixedER,FALSE,0,0.8,0.2,FALSE,low,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,lowProd,0.2,chum,55,fixedER,FALSE,0.2,0.8,0.2,FALSE,low,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,lowProd,0.4,chum,55,fixedER,FALSE,0.4,0.8,0.2,FALSE,low,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,lowProd,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,low,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,lowProd,0.8,chum,55,fixedER,FALSE,0.8,0.8,0.2,FALSE,low,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,highProd,0,chum,55,fixedER,FALSE,0,0.8,0.2,FALSE,high,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,highProd,0.2,chum,55,fixedER,FALSE,0.2,0.8,0.2,FALSE,high,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,highProd,0.4,chum,55,fixedER,FALSE,0.4,0.8,0.2,FALSE,high,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,highProd,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,high,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,highProd,0.8,chum,55,fixedER,FALSE,0.8,0.8,0.2,FALSE,high,NA,NA,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,decProd,0,chum,55,fixedER,FALSE,0,0.8,0.2,FALSE,decline,0,10,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,decProd,0.2,chum,55,fixedER,FALSE,0.2,0.8,0.2,FALSE,decline,0,10,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,decProd,0.4,chum,55,fixedER,FALSE,0.4,0.8,0.2,FALSE,decline,0,10,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,decProd,0.6,chum,55,fixedER,FALSE,0.6,0.8,0.2,FALSE,decline,0,10,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
prodTrend,decProd,0.8,chum,55,fixedER,FALSE,0.8,0.8,0.2,FALSE,decline,0,10,0.3,0.1,even,0.25,0.5,0.4,0.4,0.75,0.75,1,1,1,0.1,100
