"","stk.name","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha","E. Stuart","1.80136","0.167216960598834","1.47589986765","1.6907499445403","1.8","1.91424995103373","2.13102499428262","1.00002598007646","1000"
"beta0","E. Stuart","1.4943597","0.682774113507524","0.537882488888276","0.9642","1.393","1.88424995025426","3.05014162497521","1.00613218300298","250"
"beta1","E. Stuart","2.62076925","0.895612484453654","0.905949946113727","2.02174995362163","2.62049995229918","3.22074857473393","4.46604998908741","1.00003559720122","1000"
"beta2","E. Stuart","1.5555703","0.742802366610899","0.240583914919381","1.03874990971832","1.504","2.02949981528609","3.15452330334668","1.00957432707092","310"
"beta3","E. Stuart","0.888169284","0.574527142003331","0.0570224806998334","0.440674997872421","0.784249960153011","1.25599880699821","2.14712485830406","1.0028223030502","530"
"sigma","E. Stuart","0.769559","0.0756908429250375","0.639094999237051","0.714724988193108","0.763249998362267","0.815074989649462","0.930295659709267","1.008984031792","410"
"deviance","E. Stuart","-101.62912","3.16418335149559","-106.1","-104.1","-102.3","-99.82","-94.358","1.00225420210518","710"
"alpha","L. Stuart","2.027187","0.23005477441303","1.60997499242703","1.865","2.02549993828684","2.182","2.479","1.00783386174038","190"
"beta0","L. Stuart","1.0128242","0.514088731678101","0.227329576377732","0.616774998479915","0.969999814432972","1.3417493716252","2.16239856388416","1.00131029397477","1000"
"beta1","L. Stuart","1.12564887","0.551935486611437","0.158728662790564","0.733174998721257","1.09349988568815","1.47924993663757","2.23129921613166","1.0025622917187","1000"
"beta2","L. Stuart","0.955758974","0.531112495720677","0.0895700109581767","0.553274862674602","0.939649615548264","1.29849971135339","2.09109990686046","1.00046606138287","1000"
"beta3","L. Stuart","0.43900998001","0.351565443405942","0.0217904107769327","0.161649976792159","0.350849967935013","0.629249946381759","1.29805799563463","0.999997013694408","1000"
"sigma","L. Stuart","1.2778033","0.123983880249296","1.06897498859213","1.194","1.26849990145841","1.348","1.549","1.00098904591444","1000"
"deviance","L. Stuart","-49.61964","3.30916080232068","-54.5105","-52.05","-50.105","-47.8","-41.657","1.00030743041672","1000"
"alpha","Stellako","2.611444","0.202496962653478","2.22392495063624","2.473","2.611","2.74424996584181","3.01","1.00136603571692","1000"
"beta0","Stellako","3.5776671","1.01897009821125","1.56889987550803","2.88099791545936","3.55399985931345","4.274","5.51264850993192","1.00071484099442","1000"
"beta1","Stellako","1.732868908","0.931967418750658","0.143859873516628","1.0312491810236","1.63999878048735","2.38899937247235","3.75409994809182","1.00101520755845","1000"
"beta2","Stellako","0.773006753","0.61138002416536","0.0257377240879233","0.283674917330457","0.643149764829313","1.0914969135746","2.25224946039124","1.00582689017119","270"
"beta3","Stellako","5.231397","1.09280167775214","2.90999324004721","4.53649925570617","5.2284994023142","6.00474985950963","7.35352427041976","1.00226057499568","660"
"sigma","Stellako","0.6940723","0.0666357727419658","0.581232346689329","0.645274998547056","0.6882499981838","0.733349994886945","0.845649942438238","1.00161391448934","930"
"deviance","Stellako","-4.780714551","3.56693683926741","-9.6014","-7.40125","-5.6455","-2.696","3.771125","1.0001679103018","1000"
"alpha","Bowron","1.839435","0.188303935559369","1.48397499178375","1.704","1.844","1.9602499521826","2.22817473251563","1.00512166252245","290"
"beta0","Bowron","28.458921","10.6008552466638","11.4897498938687","20.3999926422481","27.8799982065997","34.7699956875895","51.4957375154573","1.0095236341688","160"
"beta1","Bowron","7.707987605","6.56171189802864","0.349686788429863","2.584","5.92949744919416","11.102499155849","23.8749796888311","1.0035428649315","1000"
"beta2","Bowron","10.08177972","7.6580122422015","0.466297267171791","4.11574943031047","8.55099994152731","14.2574206404185","28.5619972739334","1.00562787150332","1000"
"beta3","Bowron","6.23496552","5.64378286257535","0.208906692261266","1.94924956691897","4.55848790719028","8.6527442735121","21.0372016995637","1.00584971481459","1000"
"sigma","Bowron","0.8629496","0.0839786715608024","0.716484993873105","0.805674970903466","0.853999976580796","0.916199983630411","1.04502498834466","1.00213102578955","1000"
