"","stk.name","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha","E. Stuart","1.3522896","0.115257865707497","1.128","1.275","1.34849990730441","1.433","1.57602499227004","1.00248859704745","1000"
"beta0","E. Stuart","1.4602047","0.632920755016013","0.546127311687002","0.979249352247478","1.365","1.848","2.89404998316246","1.00266739685165","560"
"sigma","E. Stuart","0.8238532","0.0763494347454252","0.690892498411943","0.769749995127866","0.818049986247784","0.875949995719259","0.989814995569055","1.0021466769941","1000"
"deviance","E. Stuart","-91.7749","2.01747153174001","-94.15025","-93.2025","-92.29","-90.83","-86.45675","1.00130940421966","1000"
"alpha","L. Stuart","1.683566","0.17311415931736","1.36082455972275","1.563","1.683","1.791","2.026","1.00054677084504","1000"
"beta0","L. Stuart","0.878371","0.46767310496982","0.223299116698211","0.500674848238791","0.80669984504771","1.19324803856406","1.93507494337174","1.00052468082694","1000"
"sigma","L. Stuart","1.2782284","0.121929599033871","1.0479749883634","1.1947499215098","1.271","1.356","1.53112480141476","1.0003242134893","1000"
"deviance","L. Stuart","-50.66909","2.28229668317904","-53.59","-52.34","-51.09","-49.58","-44.88575","1.00040626365199","1000"
"alpha","Stellako","1.844185","0.165990962931043","1.53694996825517","1.728","1.838","1.952","2.176","1.00691093431576","220"
"beta0","Stellako","3.9631266","1.22612422287563","1.54789987381631","3.11499807218515","3.95099987344976","4.78874982384258","6.36402499808513","1.00287213192197","520"
"sigma","Stellako","0.8312335","0.0755918438365185","0.705487495679238","0.775674998791323","0.823399975710468","0.878174947703705","0.995744960389105","1.00203859038668","1000"
"deviance","Stellako","18.54591","2.49764457045039","15.61","16.63","17.84","19.8649981128909","24.5802499504303","1.00003145918409","1000"
"alpha","Bowron","1.6001229","0.134705834199404","1.35889985623349","1.51074993793103","1.592","1.68624994441425","1.87114976599362","1.00018073486274","1000"
"beta0","Bowron","25.961025","9.06988184636835","11.138747256815","19.1524955922679","24.7699979814291","31.8774855999018","45.470452994103","1.00133208979454","1000"
"sigma","Bowron","0.8072779","0.0729192429855631","0.678497499820358","0.755249995034318","0.8028","0.855624998904352","0.959527484642257","1.00132591195141","1000"
"deviance","Bowron","-323.2655","2.16719091601697","-325.7","-324.8","-323.8","-322.3","-317.4","1.00166316341081","1000"
"alpha","Raft","1.514986","0.130935823952019","1.25797499030693","1.43","1.515","1.6002499414276","1.781","1.00001481422829","1000"
