stk,CU,muAlpha,alpha,beta0,sigmaAlpha,sigma
1,PrtI,1.518528121,1.286404731,2.71E-05,0.255491385,0.308500367
1,PrtI,1.206281759,1.124394013,2.41E-05,0.39423318,0.328180535
1,PrtI,1.058947643,1.122931946,2.16E-05,0.375685414,0.344926021
1,PrtI,1.328894519,1.333537648,3.20E-05,0.279207522,0.423880464
1,PrtI,1.4217432,1.277075791,2.96E-05,0.285756997,0.438210684
1,PrtI,1.033834771,1.669438799,4.18E-05,0.392936675,0.432537647
1,PrtI,0.69192776,1.185269379,2.65E-05,0.649459683,0.265168962
1,PrtI,1.66853702,1.616033619,4.03E-05,0.677170205,0.399545162
1,PrtI,0.682166328,1.376866112,2.74E-05,0.81664878,0.343480474
1,PrtI,0.801199545,0.941472833,1.50E-05,0.168693743,0.370783032
1,PrtI,1.295058861,1.039031389,2.23E-05,1.273520801,0.27266569
1,PrtI,1.405886389,1.493150117,3.12E-05,0.272826842,0.449420476
1,PrtI,1.511203365,1.023700184,2.24E-05,0.38130444,0.366077272
1,PrtI,1.197603112,1.041122065,1.94E-05,0.171632829,0.275322306
1,PrtI,1.372010264,1.176046969,2.74E-05,0.199742851,0.289912622
1,PrtI,0.993528447,1.111813983,2.26E-05,0.258870241,0.315352421
1,PrtI,1.062207719,1.191987857,2.68E-05,0.452030877,0.280395664
1,PrtI,0.698468761,1.343326536,3.02E-05,0.17574839,0.466719718
1,PrtI,0.297151923,1.042637166,2.55E-05,0.412898627,0.409013533
1,PrtI,1.11942879,1.217718722,2.64E-05,0.207981859,0.317366547
1,PrtI,1.156001328,1.129338243,2.39E-05,0.288651801,0.34680878
1,PrtI,1.532730263,1.17288375,2.52E-05,0.157463441,0.28185563
1,PrtI,1.421504035,0.999935443,1.78E-05,0.35606214,0.457699456
1,PrtI,1.410995858,1.472544164,3.34E-05,0.187549521,0.313534132
1,PrtI,1.456841449,1.374201273,3.38E-05,0.527249218,0.356127062
1,PrtI,1.458276766,1.327788902,3.34E-05,0.329588291,0.264757243
1,PrtI,1.013624417,1.249625938,2.72E-05,0.843798176,0.333400343
1,PrtI,0.879572499,1.084888774,2.84E-05,0.340496553,0.325195631
1,PrtI,1.281790631,1.470448101,3.12E-05,0.274316196,0.419535449
1,PrtI,1.08592321,1.301080114,2.50E-05,0.136789637,0.352171249
1,PrtI,0.735403693,1.368178818,2.88E-05,0.234886174,0.36646583
1,PrtI,1.430822067,1.24648486,2.40E-05,0.205207194,0.462716907
1,PrtI,0.96264771,1.422144119,3.48E-05,0.238660577,0.263472313
1,PrtI,1.652547886,1.129493132,2.33E-05,0.287506101,0.299901763
1,PrtI,1.576037298,1.376830694,2.64E-05,0.447570723,0.323182354
1,PrtI,1.047804297,1.267041006,2.64E-05,0.173596813,0.411395431
1,PrtI,1.142103844,1.396166441,3.04E-05,0.161015791,0.300510371
