Group_Order,Stock_Group,Cyc,Year,Excld,Mission_Escapement,Mission_50_DoY,Mission_50_Date,Mission_HG_Travel_Time,HellsGate_50_DoY,HG_50_date,Catch_Above_Mission,PSE,SE,DBE,pDBE,pMA,lnDBE,QN_31,QMn_31,TN_31,TMn_31,QN_19,QMn_19,TN_19,TMn_19
1,EStu,1,1977,0,344694,10-Jul,10-Jul-77,5,15-Jul,15-Jul-77,87000,257694,117416,-140278,-0.544359,1.194709409,0.78605,31,4870,31,15.11935484,19,4845.263158,19,14.76315789
1,EStu,2,1978,1,140700,04-Jul,04-Jul-78,5,09-Jul,09-Jul-78,56000,84700,50004,-34696,-0.409634,0.693864491,0.527013,31,4934.193548,31,16.54516129,19,5151.578947,19,15.88947368
1,EStu,3,1979,1,211499,05-Jul,05-Jul-79,5,10-Jul,10-Jul-79,63000,148499,92746,-55753,-0.375444,0.601136437,0.470714,31,5227.096774,29,15.32413793,19,5565.263158,17,14.28235294
1,EStu,0,1980,0,43700,09-Jul,09-Jul-80,5,14-Jul,14-Jul-80,7000,36700,16939,-19761,-0.538447,1.166597792,0.773158,31,4137.419355,31,16.10967742,19,4275.263158,19,15.58421053
1,EStu,1,1981,1,334600,09-Jul,09-Jul-81,5,14-Jul,14-Jul-81,135000,199600,138031,-61569,-0.308462,0.446051974,0.368837,31,4927.419355,31,15.87741935,19,5000,19,14.82105263
1,EStu,2,1982,0,89500,08-Jul,08-Jul-82,5,13-Jul,13-Jul-82,41000,48500,4557,-43943,-0.906041,9.642966864,2.364899,31,7468.064516,31,15.32903226,19,7658.421053,19,14.97368421
1,EStu,3,1983,1,105000,08-Jul,08-Jul-83,5,13-Jul,13-Jul-83,53000,52000,23867,-28133,-0.541019,1.17874052,0.778747,31,5286.774194,28,15.41785714,19,5120,16,15.0875
1,EStu,0,1984,0,50714,07-Jul,07-Jul-84,5,12-Jul,12-Jul-84,9000,41714,48037,6323,0.15158,-0.131627704,-0.141135,31,6876.774194,31,13.73548387,19,7474.736842,19,12.94210526
1,EStu,1,1985,1,294916,11-Jul,11-Jul-85,5,16-Jul,16-Jul-85,73000,221916,237532,15616,0.070369,-0.065742721,-0.068003,31,4646.129032,31,16.31612903,19,5161.052632,19,15.42105263
1,EStu,2,1986,0,38517,09-Jul,09-Jul-86,5,14-Jul,14-Jul-86,14000,24517,28584,4067,0.165881,-0.142279527,-0.153477,31,5523.870968,31,15.49612903,19,5938.947368,19,14.91473684
