stk,yr,cyc,rec2,rec3,rec4,rec5,rec,eff,juv
1,1948,4,0,0,0.179412,0.018741,0.198153,0.010859,NA
1,1949,1,0,0.006218,1.029437,0.001271,1.030708,0.168458,NA
1,1950,2,0,0.000579,0.240545,0.000542,0.241087,0.025658,NA
1,1951,3,0,0.000009,0.158428,0.015217,0.173645,0.029785,NA
1,1952,4,0,0.000028,0.078012,0.01056,0.088572,0.015484,NA
1,1953,1,0,0.000294,0.537711,0.002886,0.540597,0.078238,NA
1,1954,2,0,0.000341,0.154781,0.000701,0.155482,0.01801,NA
1,1955,3,0,0.000011,0.025824,0.001632,0.027456,0.001397,NA
1,1956,4,0,0,0.101035,0.006393,0.107428,0.016661,NA
1,1957,1,0,0.00073,1.215763,0.003272,1.219035,0.119273,NA
1,1958,2,0,0.000755,0.102112,0.00024,0.102352,0.022196,NA
1,1959,3,0,0,0.014682,0.006153,0.020835,0.001297,NA
1,1960,4,0,0.000022,0.069925,0.004202,0.074127,0.007401,NA
1,1961,1,0,0.00063,0.252123,0.002208,0.254331,0.087782,NA
1,1962,2,0,0,0.067661,0.005992,0.073653,0.014103,NA
1,1963,3,0,0.000332,0.090397,0.001825,0.092222,0.00259,NA
1,1964,4,0,0.001027,0.02594,0.012949,0.038889,0.0013,NA
1,1965,1,0,0.000432,0.415253,0.001526,0.416779,0.011241,NA
1,1966,2,0,0.001746,0.08304,0,0.08304,0.005959,NA
1,1967,3,0,0.000423,0.326142,0.013128,0.33927,0.011167,NA
1,1968,4,0,0.000011,0.010412,0,0.010412,0.000793,NA
1,1969,1,0,0.000648,1.366181,0.004452,1.370633,0.048796,NA
1,1970,2,0,0.001212,0.178232,0.001312,0.179544,0.015806,NA
1,1971,3,0,0.000311,0.42351,0.006993,0.430503,0.04561,NA
1,1972,4,0,0.000025,0.032207,0,0.032207,0.002253,NA
1,1973,1,0,0.004591,1.342456,0.003951,1.346407,0.153876,NA
1,1974,2,0,0.001242,0.141307,0.002218,0.143525,0.02161,NA
1,1975,3,0,0.00015,0.220007,0.002852,0.222859,0.026252,NA
1,1976,4,0,0.000043,0.0288,0.003034,0.031834,0.006792,NA
1,1977,1,0,0.000572,0.752467,0.008655,0.761122,0.053363,NA
1,1978,2,0,0.000202,0.07147,0.00118,0.07265,0.020004,NA
1,1979,3,0,0.000034,0.089807,0.017889,0.107696,0.03617,NA
1,1980,4,0,0.00001,0.03795,0.025541,0.063491,0.007361,NA
1,1981,1,0,0.000046,0.33129,0.018805,0.350095,0.071485,NA
1,1982,2,0,0.000013,0.026796,0.001007,0.027803,0.002158,NA
1,1983,3,0,0.000423,0.17676,0.010949,0.187709,0.013121,NA
1,1984,4,0,0.00024,0.209867,0.029536,0.239403,0.021868,NA
1,1985,1,0,0.002414,1.179879,0.026057,1.205936,0.118124,NA
1,1986,2,0,0.000056,0.12828,0.017603,0.145883,0.01516,NA
1,1987,3,0,0.000008,0.494847,0.031065,0.525912,0.075524,NA
1,1988,4,0,0.000033,0.319342,0.059894,0.379236,0.088071,NA
1,1989,1,0,0.00042,1.091749,0.045932,1.137681,0.211041,NA
1,1990,2,0,0.000002,0.156963,0.009121,0.166084,0.047065,NA
1,1991,3,0,0.000514,0.129192,0.014581,0.143773,0.085456,NA
1,1992,4,0,0.00001,0.080797,0.019569,0.100366,0.036565,NA
1,1993,1,0,0.000847,1.652166,0.16177,1.813936,0.386806,NA
1,1994,2,0,0.000006,0.02799,0.001034,0.029024,0.014499,NA
1,1995,3,0,0.00002,0.170595,0.018985,0.18958,0.057342,NA
1,1996,4,0,0,0.359206,0.10494,0.464146,0.041063,NA
1,1997,1,0,0.000001,0.109249,0.038121,0.14737,0.073416,NA
