"stk","alpha","beta0","beta1","beta2","beta3","sigma","deviance"
1,1.80640808544651,1.07877243656044,3.60121461942992,2.07660334492131,0.67598784813182,0.806106895345457,-2567.42146091175
1,2.02392889414246,2.34388641953434,3.60396749827295,1.40391675443526,1.47891451989961,0.919745636873235,-2570.58099019818
1,1.97480088286684,1.77480223461986,3.66883920239228,1.61894616007471,1.9658772370253,0.779769941520025,-2588.27891974228
1,2.03874264766145,1.44610090087783,2.22467183687496,2.78542319566614,1.83421156784438,0.846541228691961,-2556.03234797213
1,1.82623844394886,1.55106666562117,3.66698959591713,2.04134665539759,0.00345575680661108,0.80832754813794,-2591.84953259573
1,1.78998001777983,1.78091074158373,3.35376624961546,1.15009761911064,0.665326749005908,0.695883349531736,-2590.38333196595
1,1.67516415921435,0.996799727485882,3.53998671097928,1.52250298856895,0.460230879550032,0.742906489553909,-2598.4249945881
1,1.80407253856154,1.85226651176426,3.01729726398632,2.06320947132253,1.19194476786055,0.679406670122779,-2586.07077604974
1,2.08189339943575,1.35529629495932,4.48981734340055,2.25901322867115,2.03259345596706,0.750135791136872,-2617.31769256826
1,1.95222042800245,0.882302262440337,3.37613756233673,2.31338322804646,0.936798050715672,0.7516149843923,-2565.68179414136
1,1.99771956115025,1.809457469314,3.05971360853202,1.77267655882146,0.31825986838684,0.862646257193066,-2593.59811801918
1,1.9798009888114,2.02254834037201,2.38550338413569,1.29539842510766,1.42897695764837,0.754855512626955,-2547.81368495601
1,1.60576291002627,1.87758921581374,1.25754243550818,0.353104549127974,0.460944041444531,0.8046778889541,-2609.9189470994
1,1.7117631416937,1.2210786125936,0.81895502710862,1.32032933740298,0.922915635683701,0.774242138130812,-2588.69818844372
1,1.74141865333947,0.923674715821748,1.52374127628872,2.46623049590299,1.88626264147952,0.773890842148132,-2586.77400632171
1,1.64818524139315,0.853734930420943,1.94911048591006,1.61037620325125,0.996690671686354,0.786657216783719,-2601.76133595822
1,1.76054817325588,1.15617155328907,4.50911197762241,1.5976129406802,0.906507443211451,0.727595592202518,-2556.31980528548
1,2.18081651317612,1.99764447600457,4.11759522148921,2.62272650965345,2.47179608333525,0.748108132401517,-2575.79797428288
1,2.00482882139067,1.97693239071563,4.2070806008538,1.10385697136346,0.941405666741981,0.721707836408832,-2611.07301627196
1,1.95130235329522,1.02708700487789,3.77206606535676,1.96423747625055,0.835865291075137,0.729952240572827,-2589.51029328903
1,1.83996438475598,2.86097266036641,2.626262645442,0.981145397212748,0.824183418058372,0.713770186817873,-2577.33836156375
1,1.76095179209742,1.59822522620665,2.16289170011604,1.61776945373859,0.561346943170512,0.820768587832372,-2549.57934310427
1,1.87235169448655,0.78973823145056,3.43432594510785,2.08297280732899,0.591216422806275,0.655639288053312,-2606.51966838273
1,2.03617887309524,0.988393075050744,2.57705765399229,2.62716443741191,0.939393749792897,0.80413128996917,-2575.64708573173
1,1.7809184753491,1.41892536666284,1.26123521526028,2.7607142963527,0.821231653531328,0.809543812276924,-2588.25296003915
1,1.66914836695451,2.15408286040973,3.49849370873876,0.136629648454239,0.172857788987428,0.759484310975632,-2608.33878931566
1,1.78511782717681,1.75064822254859,2.8318163941288,1.41576917621994,0.390646279910158,0.810338794564754,-2588.7309630518
1,1.75747108975518,1.62698763909639,2.07959818993268,0.643920876809788,1.45343647182125,0.748352560365408,-2585.80635565894
1,1.58370228391827,1.34948937029566,1.0707070177986,1.3835978094576,0.126877104702068,0.992135296968564,-2575.24897517784
1,2.20680694170237,1.2823095542494,3.54419726752048,2.44218132400902,0.588376935409263,0.747399193092831,-2614.19200060029
1,1.53926218729394,1.27904171677011,2.91885743012046,1.18632572652566,0.905610969270691,0.785848155994932,-2582.32502014206
1,1.69688817708805,1.41204102108759,2.63242928676226,0.167291990925241,1.3425046627242,0.771358858596694,-2604.45989243177
1,2.04338406971108,2.3628321586349,2.35197268046107,2.49028791019421,1.01919895975221,0.649264825292336,-2593.04753861375
1,1.77310468158845,2.20480774588564,1.9066420956784,0.957832202594073,0.909539750991679,0.69592938299921,-2545.92722384836
1,1.71855537258666,2.15942000691257,0.763852901190986,1.13630995017405,0.550798292840648,0.835985910101187,-2563.09072458409
1,2.04400269497306,1.79783982384805,2.50425517551437,2.57760873377389,0.17644577438525,0.721232685172956,-2580.76289838555
1,1.54818149556087,0.521065255282936,3.36045564135664,0.465614707500101,0.537902163913276,0.729160350413938,-2603.96871204017
1,1.76244721281268,1.58211726453428,2.81522463189268,1.50787286216018,0.156222596365367,0.740472809665663,-2580.27154416686
1,1.80040482480453,1.89965640403642,0.848882204288123,0.245763206753464,1.68757847032538,0.856311850592857,-2602.71175529298
1,1.8903185921001,2.6197341734124,2.61553371646853,1.79483646488894,0.569052053006531,0.608707589806758,-2562.70799421767
1,1.92794502141544,1.72747053948486,2.61123638486886,1.78579194995219,1.3778567223262,0.812370964149411,-2587.79916073615
1,1.8157197044147,2.16659949094465,2.45714358684733,1.54554357357849,0.412106561689303,0.730275771157814,-2586.22147578417
1,1.8614520842931,2.10220924116664,2.39188490542264,1.78609918146547,0.983408731582371,0.681518485606178,-2570.32701588642
1,1.99747535322478,1.6207048771668,3.80271589206561,1.50439795500541,0.638903724540689,0.716782178833831,-2589.40696439201
1,1.82627864021293,1.64576830286593,2.58236022697325,1.75421003360439,2.0267497235164,0.79539743828879,-2585.91478658861
1,1.97478720297505,2.37191535435898,2.47222634530852,2.14204107394844,1.08760676371533,0.657885197194054,-2571.62867385103
1,1.87281155779051,2.32643591887417,2.54660915707502,1.37815972803464,1.25609208772972,0.61873082141191,-2567.22686029739
1,1.88728831667525,2.04678031402657,0.546235559622502,2.27858073967599,0.3908176273337,0.854911743511617,-2591.70553881397
1,1.67988353007201,1.74837252432975,1.94650285190883,1.80604391238029,0.247441429691342,0.703812891786456,-2591.76719270776
1,1.83199094676777,1.22790392945852,4.21838329898907,1.92461788860733,1.14241500966472,0.827719003575744,-2589.559760999
1,1.58769432984978,0.858279216671925,2.93216844525737,0.124441682844675,0.25134376836817,0.801014364092294,-2571.98844282389
